"УИК №401"	"УИК №402"	"УИК №403"	"УИК №404"	"УИК №405"	"УИК №406"	"УИК №407"	"УИК №408"	"УИК №409"	"УИК №410"	
1831	2201	2161	2298	2375	2392	2439	2373	2250	2758	
1800	2200	2100	2300	2350	2350	2350	2300	2300	2600	
0	0	0	0	0	0	0	0	0	0	
1728	2046	2018	2121	2213	2249	2258	2207	2115	2532	
7	22	18	17	9	5	20	26	13	15	
65	132	64	162	128	96	72	67	172	53	
7	22	18	17	9	5	20	26	13	15	
1728	2046	2018	2121	2213	2249	2258	2207	2115	2532	
18	60	46	41	56	28	65	63	54	36	
1717	2008	1990	2097	2166	2226	2213	2170	2074	2511	
0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	

2	4	5	8	6	7	4	5	4	11	
85	104	105	107	112	113	115	112	108	129	
136	166	163	172	179	201	183	169	172	201	
1465	1696	1670	1756	1825	1853	1868	1842	1748	2095	
6	7	6	9	9	8	6	9	8	22	
10	21	32	29	24	28	25	23	26	31	
5	4	6	11	8	12	7	7	5	16	
8	6	3	5	3	4	5	3	3	6	
