"УИК №1392"	"УИК №1393"	"УИК №1394"	"УИК №1395"	"УИК №1396"	"УИК №1397"	"УИК №1398"	"УИК №1399"	"УИК №1400"	"УИК №1401"	"УИК №1402"	"УИК №1403"	"УИК №1404"	"УИК №1405"	"УИК №1406"	"УИК №1407"	"УИК №1408"	"УИК №1409"	"УИК №1410"	"УИК №1411"	
923	106	260	1333	494	442	2208	1741	1156	2058	1293	488	877	326	875	951	1095	2347	2104	987	
930	180	264	1370	481	455	2211	1763	1169	2090	1306	490	880	330	880	970	1103	2250	2128	1000	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
689	98	238	1060	355	362	817	1567	972	1918	1027	441	809	284	567	627	779	1832	1810	932	
23	8	0	10	28	30	46	7	0	24	9	4	0	0	13	16	9	0	20	0	
218	74	26	300	98	63	1348	189	197	148	270	45	71	46	300	327	315	418	298	68	
23	8	0	10	28	30	46	7	0	24	9	4	0	0	13	16	9	0	20	0	
689	98	238	1060	355	362	817	1567	972	1918	1027	441	809	284	567	627	779	1832	1810	932	
1	1	0	0	1	0	0	3	7	4	4	5	6	2	0	9	5	5	2	0	
711	105	238	1070	382	392	863	1571	965	1938	1032	440	803	282	580	634	783	1827	1828	932	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

0	1	0	6	3	0	2	0	1	0	4	1	1	0	2	4	1	0	3	3	
185	34	40	331	96	53	106	270	117	97	274	26	33	21	121	130	302	156	316	48	
6	1	0	16	3	0	7	45	6	4	2	3	1	0	0	2	5	0	4	0	
505	67	198	690	276	339	742	1252	837	1832	747	406	768	260	454	490	473	1590	1498	878	
6	1	0	14	0	0	3	2	2	4	1	3	0	1	1	5	1	0	3	3	
6	1	0	3	2	0	3	1	1	1	2	1	0	0	1	0	1	0	3	0	
3	0	0	9	2	0	0	0	0	0	1	0	0	0	0	1	0	81	0	0	
0	0	0	1	0	0	0	1	1	0	1	0	0	0	1	2	0	0	1	0	
