"УИК №1947"	"УИК №1948"	"УИК №1949"	"УИК №1950"	"УИК №1951"	"УИК №1952"	"УИК №1953"	"УИК №1954"	"УИК №1955"	"УИК №1958"	"УИК №1959"	"УИК №1960"	"УИК №1961"	"УИК №1962"	"УИК №1963"	"УИК №1964"	"УИК №1965"	"УИК №1966"	"УИК №1967"	"УИК №1968"	"УИК №1969"	"УИК №1970"	"УИК №1971"	"УИК №1972"	"УИК №1973"	"УИК №1974"	"УИК №1975"	"УИК №1976"	"УИК №1977"	"УИК №1978"	"УИК №1979"	"УИК №1980"	"УИК №1981"	"УИК №1982"	"УИК №1983"	"УИК №1984"	"УИК №1985"	"УИК №1986"	"УИК №1987"	"УИК №1988"	"УИК №1989"	"УИК №1990"	"УИК №1991"	"УИК №1992"	"УИК №1993"	"УИК №1994"	"УИК №1995"	"УИК №1996"	"УИК №1997"	"УИК №1998"	"УИК №1999"	"УИК №2000"	"УИК №2001"	"УИК №2002"	"УИК №2003"	"УИК №2004"	"УИК №2005"	"УИК №2007"	"УИК №2008"	"УИК №2009"	"УИК №2010"	"УИК №2011"	"УИК №2012"	"УИК №2013"	"УИК №2014"	"УИК №2015"	"УИК №2016"	"УИК №2017"	"УИК №2018"	"УИК №2019"	"УИК №2020"	"УИК №2021"	"УИК №2022"	"УИК №2023"	"УИК №2024"	"УИК №2025"	"УИК №2026"	"УИК №2027"	"УИК №2028"	"УИК №2029"	"УИК №2030"	"УИК №2031"	"УИК №2032"	"УИК №2033"	"УИК №2034"	"УИК №2035"	"УИК №2036"	"УИК №2037"	"УИК №2038"	"УИК №2039"	"УИК №2040"	"УИК №2041"	"УИК №2042"	"УИК №2043"	"УИК №2044"	"УИК №2045"	"УИК №2046"	"УИК №2047"	
1304	1321	1613	1554	1237	853	974	1194	1037	920	1137	711	523	1427	1150	1374	1262	1492	1686	853	1214	1253	903	1165	1072	1032	1118	1962	869	1968	1143	1201	1140	1140	941	994	1138	947	1196	869	833	963	1404	978	1312	1487	1400	1354	1478	1575	1481	1519	1265	1257	890	986	1384	910	1261	1339	1019	1117	864	988	1037	1137	1024	1160	973	1177	1157	915	1859	1326	969	1468	1116	1650	1312	1472	1166	1238	1188	709	870	1548	840	1569	1093	1442	1669	1772	945	1459	1273	1229	729	2134	
1200	1100	1500	1400	1100	850	950	1000	950	900	1000	620	550	1200	1000	1200	1100	1300	1300	1100	1100	1100	900	1100	1200	900	1000	1700	800	1700	1100	1000	1000	1100	1000	1000	1000	900	1000	850	800	850	1200	1000	1200	1300	1200	1200	1300	1400	1200	1400	1300	1200	900	1000	1500	1000	1300	1200	900	1000	900	1000	1100	1000	1000	1100	900	1100	1100	900	1800	1100	900	1400	1100	1300	1100	1200	1100	1000	1150	700	800	1600	800	1500	800	1300	1700	1800	900	1200	1100	1700	700	2000	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
748	689	816	832	713	560	574	638	530	582	643	503	362	819	753	753	728	889	981	823	724	704	583	701	750	569	683	1188	538	1079	766	678	736	763	605	662	757	599	778	568	584	580	793	658	886	874	890	895	773	953	907	960	964	915	617	695	949	633	886	889	661	597	526	669	634	713	684	732	609	768	739	597	1175	761	533	1003	804	1010	857	697	831	788	734	394	615	853	450	1101	624	865	1266	1098	584	755	806	1042	510	1040	
102	147	15	34	15	25	22	18	13	28	63	73	45	51	29	54	7	41	48	30	13	24	43	41	21	18	36	40	36	264	33	29	22	22	9	14	15	18	17	6	35	23	27	38	10	8	11	13	10	11	13	36	11	66	38	50	108	79	78	28	12	18	20	70	149	18	12	55	81	22	22	28	60	28	27	20	22	0	20	7	1	4	42	119	63	51	138	6	0	14	3	7	5	3	0	187	92	127	
350	264	669	534	372	265	354	344	407	290	294	44	143	330	218	393	365	370	271	247	363	372	274	358	429	313	281	472	226	357	301	292	242	315	386	324	228	283	205	276	181	247	380	304	304	418	299	292	517	436	280	404	325	219	245	255	443	288	336	283	227	385	354	261	317	269	304	313	210	310	339	275	565	311	340	377	274	290	223	496	268	208	374	187	122	696	212	393	176	421	431	695	311	442	294	471	98	833	
102	147	15	34	15	25	22	18	13	28	63	73	45	51	29	54	7	41	48	30	13	24	43	41	21	18	36	40	36	264	33	29	22	22	9	14	15	18	17	6	35	22	27	38	10	8	11	13	10	11	13	36	11	66	38	50	108	79	78	28	12	18	20	70	149	18	12	55	81	22	22	28	60	28	27	20	22	0	20	7	1	4	42	119	63	51	138	6	0	14	3	7	5	3	0	187	92	127	
748	686	816	832	710	560	574	636	528	582	643	503	362	819	753	753	727	885	980	823	723	701	583	701	750	569	683	1187	538	1079	766	678	736	763	605	662	757	599	730	568	584	579	792	656	886	874	890	895	773	953	907	955	963	915	616	695	948	633	875	889	661	597	512	669	634	713	684	732	609	768	738	597	1175	761	532	1002	804	1010	857	697	831	788	734	394	615	853	450	1101	624	865	1264	1098	584	755	806	1042	510	1040	
10	12	8	15	6	5	7	14	3	8	19	8	2	9	4	12	7	11	11	6	11	5	7	9	15	17	8	37	8	67	22	7	6	10	7	16	14	2	11	8	6	12	15	8	9	21	13	13	8	15	16	23	8	8	5	8	6	8	11	8	5	18	6	12	10	11	12	18	11	12	4	5	23	27	11	18	18	9	13	11	19	9	8	5	6	7	3	18	7	15	13	22	6	10	10	11	7	10	
840	821	823	851	719	580	589	640	538	602	687	568	405	861	778	795	727	915	1017	847	725	720	619	733	756	570	711	1190	566	1276	777	700	752	775	607	660	758	615	736	566	613	589	804	686	887	861	888	895	775	949	904	968	966	973	649	737	1050	704	942	909	668	597	526	727	773	720	684	769	679	778	756	620	1212	762	548	1004	808	1001	864	693	813	783	768	508	672	897	585	1089	617	864	1254	1083	583	748	796	1218	595	1157	
