"УИК №489"	"УИК №490"	"УИК №491"	"УИК №492"	"УИК №493"	"УИК №494"	"УИК №495"	"УИК №496"	"УИК №497"	"УИК №498"	
1461	904	1269	1269	1042	1174	1222	1211	1069	1037	
1449	849	1295	1214	1134	1265	1168	1223	1113	990	
0	0	0	0	0	0	0	0	0	0	
1032	690	915	851	749	849	921	854	775	790	
7	5	15	14	9	12	8	8	8	6	
410	154	365	349	376	404	239	361	330	194	
7	5	15	14	9	12	8	8	8	6	
1032	690	915	851	749	849	921	854	775	790	
19	13	14	11	14	18	27	17	13	16	
1020	682	916	854	744	843	902	845	770	780	
0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	

2	6	3	8	0	4	3	6	6	2	
248	142	191	189	161	146	213	171	151	204	
71	43	58	58	45	62	60	56	36	49	
682	471	643	584	525	600	597	597	552	514	
8	6	14	3	2	9	14	5	11	3	
4	5	3	6	6	8	2	4	4	3	
2	4	2	3	1	5	6	2	1	4	
3	5	2	3	4	9	7	4	9	1	
