"УИК №487"	"УИК №488"	"УИК №489"	"УИК №490"	"УИК №491"	"УИК №492"	"УИК №493"	"УИК №494"	"УИК №495"	"УИК №496"	"УИК №497"	"УИК №498"	"УИК №499"	"УИК №500"	"УИК №501"	"УИК №502"	"УИК №503"	"УИК №504"	"УИК №505"	"УИК №506"	
1084	1420	1355	1113	578	207	570	302	254	170	195	360	149	210	126	162	152	115	216	209	
900	1100	1100	900	500	200	500	250	250	150	150	300	150	200	100	150	125	100	200	200	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
520	657	562	481	228	63	115	76	76	44	66	146	68	57	51	41	78	52	53	84	
21	57	34	31	97	42	171	84	52	46	54	42	32	69	28	49	29	14	83	37	
359	386	504	388	175	95	214	90	122	60	30	112	50	74	21	60	18	34	64	79	
21	57	34	31	97	42	171	84	52	46	54	42	32	69	28	49	29	14	83	37	
520	657	562	481	228	63	115	76	76	44	66	146	68	57	51	41	78	52	53	84	
8	9	5	5	1	0	0	1	1	1	0	2	1	0	0	0	1	0	0	0	
533	705	591	507	324	105	286	159	127	89	120	186	99	126	79	90	106	66	136	121	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

6	3	3	2	2	1	3	0	1	0	1	4	2	2	1	0	5	1	1	3	
47	79	75	50	27	5	22	16	12	5	9	14	4	18	7	0	13	5	8	14	
50	55	37	46	33	3	15	11	14	4	11	22	11	8	4	3	4	9	15	16	
415	547	464	397	258	94	239	127	97	80	94	141	79	95	65	87	78	48	109	86	
3	11	9	4	0	0	1	0	1	0	1	2	1	2	0	0	3	2	2	0	
4	2	1	5	2	1	3	2	1	0	4	1	2	0	1	0	3	1	1	2	
4	6	1	2	2	1	1	1	0	0	0	1	0	0	1	0	0	0	0	0	
4	2	1	1	0	0	2	2	1	0	0	1	0	1	0	0	0	0	0	0	
