"УИК №1201"	"УИК №1202"	"УИК №1203"	"УИК №1204"	"УИК №1205"	"УИК №1206"	"УИК №1207"	"УИК №1208"	"УИК №1209"	"УИК №1210"	"УИК №1211"	"УИК №1212"	"УИК №1213"	"УИК №1214"	"УИК №1215"	"УИК №1216"	"УИК №1217"	"УИК №1218"	"УИК №1219"	"УИК №1220"	"УИК №1221"	"УИК №1222"	"УИК №1223"	"УИК №1224"	"УИК №1225"	"УИК №1226"	
1443	1714	2033	1482	343	1377	1071	1077	1544	653	66	140	142	1148	509	156	898	1965	1420	797	460	203	1378	452	491	217	
1350	1550	1900	1350	350	1300	1000	1000	1400	600	60	140	140	1200	500	160	900	1900	1300	800	420	200	1300	420	500	210	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
751	915	1207	805	153	674	543	450	797	316	48	65	75	569	232	72	490	924	519	396	219	77	604	233	177	108	
37	72	45	73	17	94	53	101	102	26	6	23	9	56	19	10	55	151	206	33	36	29	82	29	25	13	
562	563	648	472	180	532	404	449	501	258	6	52	56	575	249	78	355	825	575	371	165	94	614	158	298	89	
37	72	45	73	17	94	53	101	102	26	6	23	9	56	19	10	55	151	206	33	36	29	82	29	25	13	
751	915	1206	803	153	674	543	450	797	316	48	65	75	569	232	72	488	924	519	396	219	77	604	233	177	108	
14	20	18	3	1	9	7	7	11	5	0	1	0	10	1	0	5	9	3	1	3	1	7	1	1	0	
774	967	1233	873	169	759	589	544	888	337	54	87	84	615	250	82	538	1066	722	428	252	105	679	261	201	121	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

5	8	6	4	0	3	2	2	9	0	0	1	0	2	1	2	4	2	6	3	0	1	1	1	1	2	
196	236	314	218	24	230	143	65	121	66	9	6	15	139	61	15	110	376	128	75	37	13	188	50	54	22	
59	68	78	51	12	49	36	49	56	27	4	4	7	39	12	5	35	39	66	33	7	6	50	20	16	5	
491	631	808	573	127	458	398	419	679	239	39	74	61	419	173	58	375	616	511	309	201	83	424	186	128	87	
7	10	9	13	2	11	1	3	8	1	2	1	0	10	1	1	6	12	4	1	4	1	7	0	0	3	
9	6	8	3	1	6	3	4	6	4	0	0	1	3	1	1	4	15	6	6	2	0	6	3	2	0	
3	6	5	5	2	1	4	1	2	0	0	1	0	2	0	0	2	4	0	0	0	0	2	1	0	2	
4	2	5	6	1	1	2	1	7	0	0	0	0	1	1	0	2	2	1	1	1	1	1	0	0	0	
