"УИК №1486"	"УИК №1487"	"УИК №1488"	"УИК №1489"	"УИК №1490"	"УИК №1491"	"УИК №1492"	"УИК №1493"	"УИК №1494"	"УИК №1495"	"УИК №1496"	"УИК №1497"	"УИК №1498"	"УИК №1499"	"УИК №1500"	"УИК №1501"	"УИК №1502"	"УИК №1503"	
407	142	673	113	73	798	1443	1197	115	138	301	209	76	57	345	132	215	718	
373	150	507	98	75	597	1070	866	83	96	263	169	55	56	312	100	167	573	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
273	90	370	74	52	364	825	664	72	86	226	143	50	7	226	82	124	390	
42	27	100	8	7	69	56	52	8	4	17	14	0	31	38	13	36	86	
58	33	37	16	16	164	189	150	3	6	20	12	5	18	48	5	7	97	
42	27	100	8	7	69	56	52	8	4	17	14	0	31	38	13	36	86	
273	90	370	74	52	364	823	664	72	86	226	143	50	7	226	82	124	390	
6	0	5	0	0	3	17	7	1	0	3	3	2	0	1	0	0	9	
309	117	465	82	59	430	862	709	79	90	240	154	48	38	263	95	160	467	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

4	1	2	0	0	2	3	6	1	0	1	2	0	0	1	0	2	4	
81	14	85	7	12	110	263	220	21	23	27	21	5	0	37	9	11	112	
31	10	37	7	11	39	76	51	8	8	18	11	7	2	7	8	10	44	
191	91	331	67	36	269	496	414	47	58	190	116	36	35	215	76	134	295	
0	0	5	0	0	3	10	5	0	0	0	1	0	0	2	0	0	3	
2	1	3	1	0	3	4	6	0	0	3	3	0	0	0	1	3	8	
0	0	1	0	0	2	6	4	1	0	1	0	0	1	0	1	0	0	
0	0	1	0	0	2	4	3	1	1	0	0	0	0	1	0	0	1	
