"УИК №468"	"УИК №469"	"УИК №470"	"УИК №471"	"УИК №472"	"УИК №473"	"УИК №474"	"УИК №475"	"УИК №476"	"УИК №477"	"УИК №478"	"УИК №479"	"УИК №480"	"УИК №481"	
1102	1128	782	346	308	322	605	595	324	273	521	284	403	131	
1000	1000	700	330	270	300	600	600	300	230	500	300	420	120	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	
609	607	390	168	145	132	225	238	158	122	284	160	191	59	
52	43	47	46	26	55	63	93	25	35	36	34	36	18	
339	350	263	116	99	113	312	269	117	73	180	106	193	43	
52	43	47	46	26	55	63	93	25	35	36	34	36	18	
609	607	390	168	145	132	225	238	158	122	284	160	191	59	
9	5	2	5	1	1	1	2	1	1	3	2	2	1	
652	645	435	209	170	186	287	329	182	156	317	192	225	76	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	

6	3	2	0	0	2	3	3	2	1	1	1	2	0	
152	136	92	31	29	19	47	33	19	23	69	16	37	2	
45	40	41	10	25	17	32	35	15	17	22	7	11	7	
430	450	285	164	113	147	198	251	142	111	219	166	172	64	
1	6	5	2	2	0	1	3	0	3	3	1	3	0	
8	4	4	2	1	1	4	1	3	0	0	1	0	1	
2	3	6	0	0	0	1	3	1	1	1	0	0	2	
8	3	0	0	0	0	1	0	0	0	2	0	0	0	
