"УИК №2601"	"УИК №2602"	"УИК №2603"	"УИК №2604"	"УИК №2605"	"УИК №2606"	"УИК №2607"	"УИК №2608"	"УИК №2609"	"УИК №2610"	"УИК №2611"	"УИК №2612"	"УИК №2613"	"УИК №2614"	"УИК №2615"	"УИК №2616"	"УИК №2617"	"УИК №2618"	"УИК №2619"	"УИК №2620"	"УИК №2621"	"УИК №2622"	"УИК №2623"	"УИК №2624"	"УИК №2625"	"УИК №2626"	"УИК №2627"	"УИК №2628"	"УИК №2629"	"УИК №2630"	"УИК №2631"	"УИК №2632"	"УИК №2633"	"УИК №2634"	"УИК №2635"	"УИК №2636"	
131	546	448	151	315	240	326	66	57	152	480	78	370	117	530	1290	490	1056	150	213	260	748	390	710	251	280	1542	1670	1931	2356	1848	721	1423	887	884	955	
125	354	316	140	265	200	250	63	40	125	370	60	320	80	450	980	450	850	130	170	245	525	300	560	200	245	1132	1205	1400	2000	1600	510	1200	635	700	700	
0	0	0	0	0	0	6	0	0	0	0	0	0	0	15	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
71	236	211	99	199	124	173	43	36	104	263	46	201	69	205	566	242	543	114	131	181	409	215	399	127	135	558	654	1055	1195	861	292	648	379	380	388	
6	25	47	11	18	36	28	14	4	21	59	6	38	11	100	47	27	35	16	19	22	97	17	46	25	53	269	37	70	115	90	38	34	37	51	48	
48	93	58	30	48	40	43	6	0	0	48	8	81	0	130	367	181	272	0	20	27	19	68	115	48	57	305	514	275	690	649	180	518	219	269	264	
6	25	47	11	18	36	34	14	4	21	59	6	38	11	115	47	27	35	16	19	37	97	17	46	25	53	269	37	70	115	90	38	34	37	51	48	
71	236	211	99	199	124	173	43	36	104	263	46	201	69	205	566	242	543	114	131	181	409	215	399	127	135	558	654	1055	1195	861	292	648	379	380	388	
1	4	1	0	3	1	2	1	1	0	3	0	2	0	1	6	2	15	2	0	0	5	2	5	2	0	13	21	19	18	18	5	9	1	5	14	
76	257	257	110	214	159	205	56	39	125	319	52	237	80	319	607	267	563	128	150	218	501	230	440	150	188	814	670	1106	1292	933	325	673	415	426	422	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

0	1	1	0	3	1	0	0	0	1	0	0	0	0	2	5	2	3	0	1	1	1	3	1	0	0	3	2	6	9	3	0	2	1	1	0	
1	26	35	8	44	8	8	4	1	1	11	0	23	1	15	55	29	85	0	10	22	23	22	61	16	15	71	90	180	245	158	42	125	52	59	62	
4	30	28	5	11	7	2	6	0	4	24	0	28	6	21	69	16	56	14	26	5	37	19	60	19	16	90	93	130	138	83	36	95	50	52	77	
71	192	190	97	155	142	192	45	37	119	283	52	182	73	272	454	219	409	114	111	185	428	181	313	114	152	634	470	765	866	668	244	441	307	305	274	
0	3	3	0	1	0	2	1	1	0	0	0	2	0	7	4	0	1	0	1	3	3	2	3	0	2	8	6	8	10	5	0	7	1	3	3	
0	3	0	0	0	1	1	0	0	0	1	0	2	0	1	11	0	8	0	1	2	3	0	1	1	3	2	6	8	15	5	1	0	2	2	2	
0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	6	1	0	0	0	0	0	3	0	0	0	0	0	4	5	8	2	3	1	3	3	
0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	1	0	0	0	6	0	1	0	0	6	3	5	4	3	0	0	1	1	1	
