"УИК №1201"	"УИК №1202"	"УИК №1203"	"УИК №1204"	"УИК №1205"	"УИК №1206"	"УИК №1207"	"УИК №1208"	"УИК №1209"	"УИК №1210"	"УИК №1211"	"УИК №1212"	"УИК №1213"	"УИК №1214"	"УИК №1215"	"УИК №1216"	"УИК №1217"	"УИК №1218"	"УИК №1219"	"УИК №1220"	"УИК №1221"	"УИК №1222"	"УИК №1223"	"УИК №1224"	"УИК №1225"	"УИК №1226"	"УИК №1227"	"УИК №1228"	"УИК №1229"	"УИК №1230"	"УИК №1231"	"УИК №1232"	"УИК №1233"	
501	138	79	385	168	728	159	453	709	431	266	1032	188	205	222	1440	1367	1067	1056	1328	1353	126	500	308	349	258	346	80	298	125	440	484	122	
495	139	79	380	172	730	159	452	716	415	263	1009	183	170	220	1427	1263	1030	979	1335	1269	127	499	305	340	252	335	84	292	125	428	481	121	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
452	121	68	352	158	630	121	419	645	345	226	699	130	161	196	860	821	634	834	819	1176	110	486	299	298	232	253	78	272	113	394	424	108	
36	8	5	18	4	43	17	27	31	20	15	30	19	9	6	39	60	17	26	20	33	7	11	4	25	19	15	2	11	4	22	30	6	
7	10	6	10	10	57	21	6	40	50	22	280	34	0	18	528	382	379	119	496	60	10	2	2	17	1	67	4	9	8	12	27	7	
36	8	5	18	4	43	17	27	31	20	15	30	19	9	6	39	60	17	26	20	33	7	11	4	25	19	15	2	11	4	22	30	6	
452	121	68	352	158	630	121	419	645	345	226	699	130	161	196	860	821	634	834	819	1176	110	486	299	298	232	253	78	272	113	394	424	108	
3	0	0	0	0	0	4	0	0	0	0	6	4	0	0	11	4	11	0	7	15	0	0	0	0	0	1	0	0	0	0	0	0	
485	129	73	370	162	673	134	446	676	365	241	723	145	170	202	888	877	640	860	832	1194	117	497	303	323	251	267	80	283	117	416	454	114	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

0	0	0	2	0	0	0	1	1	0	0	4	0	0	0	4	6	3	0	0	2	0	0	0	1	0	0	0	0	0	2	0	0	
7	6	4	12	3	64	5	4	30	20	27	131	18	18	19	126	158	114	52	69	51	14	22	12	6	8	45	3	25	5	15	30	7	
6	5	4	5	9	22	5	8	33	20	2	57	10	16	8	101	74	50	58	59	43	8	11	5	5	10	42	5	1	5	9	14	2	
470	118	64	347	150	587	123	431	606	321	212	517	113	136	175	640	625	464	743	699	1090	92	464	286	310	231	173	72	257	107	387	410	105	
1	0	1	1	0	0	0	1	3	3	0	7	3	0	0	6	3	5	1	1	2	2	0	0	1	1	2	0	0	0	2	0	0	
1	0	0	2	0	0	1	1	0	0	0	3	0	0	0	6	4	1	5	2	6	1	0	0	0	0	4	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	3	0	0	1	0	0	0	2	7	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	
0	0	0	1	0	0	0	0	0	1	0	3	1	0	0	3	0	2	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	
