"УИК №837"	"УИК №838"	"УИК №839"	"УИК №840"	"УИК №841"	"УИК №842"	"УИК №843"	"УИК №844"	"УИК №845"	"УИК №846"	"УИК №847"	"УИК №848"	"УИК №849"	"УИК №850"	"УИК №851"	"УИК №852"	"УИК №853"	"УИК №854"	"УИК №855"	"УИК №856"	"УИК №857"	"УИК №858"	"УИК №859"	"УИК №860"	"УИК №861"	"УИК №862"	"УИК №863"	"УИК №864"	"УИК №865"	"УИК №866"	"УИК №867"	"УИК №868"	"УИК №869"	"УИК №870"	"УИК №871"	"УИК №872"	"УИК №873"	"УИК №874"	"УИК №875"	"УИК №876"	"УИК №877"	
950	1452	1171	1450	1794	1955	2242	1744	1467	1767	1364	408	285	1902	1645	862	961	2311	1568	1204	1832	2108	1942	299	224	807	233	461	2423	746	1501	1645	1024	1117	672	1011	2189	225	370	1796	1302	
900	1400	1100	1400	1750	1900	2000	1550	1400	1700	1300	400	250	1850	1550	750	900	2200	1500	1000	1750	2000	1700	250	200	750	200	450	2300	700	1450	1550	950	1000	600	900	2100	190	350	1750	1250	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
502	776	677	906	1169	1171	1435	1011	962	1099	799	239	171	1114	1034	491	602	1261	746	728	1180	1330	1203	156	110	498	148	309	1446	457	805	1051	572	672	346	596	1351	124	211	997	791	
40	12	18	22	24	23	10	167	18	23	25	73	9	54	42	16	13	38	43	24	40	48	63	10	6	42	16	20	37	8	16	16	21	23	5	40	191	28	13	49	17	
358	612	405	472	557	706	555	372	420	578	476	88	70	682	474	243	285	901	711	248	530	622	434	84	84	210	36	121	817	235	629	483	357	305	249	264	558	38	126	704	442	
40	12	18	22	24	23	10	167	18	23	25	73	9	54	42	16	13	38	43	24	40	48	63	10	6	42	16	20	37	8	16	16	21	23	5	40	191	28	13	49	17	
502	776	677	906	1169	1171	1435	1011	962	1099	799	239	171	1114	1034	491	602	1261	746	728	1180	1330	1203	156	110	498	148	309	1446	457	805	1051	572	672	346	596	1351	124	211	997	791	
11	11	8	6	13	18	15	12	16	10	10	5	3	19	11	6	7	9	8	8	23	26	20	1	2	13	1	0	20	7	9	16	4	2	3	9	23	1	2	12	8	
531	777	687	922	1180	1176	1430	1166	964	1112	814	307	177	1149	1065	501	608	1290	781	744	1197	1352	1246	165	114	527	163	329	1463	458	812	1051	589	693	348	627	1519	151	222	1034	800	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

1	3	4	8	5	7	10	1	2	4	4	2	2	4	8	6	6	5	3	4	6	7	5	1	0	3	1	0	7	2	5	6	7	3	2	1	15	1	0	7	7	
89	97	90	106	124	141	179	116	106	135	95	11	10	155	119	59	81	167	73	90	107	156	153	22	16	59	8	25	190	43	89	130	57	73	54	64	191	18	27	97	101	
26	43	29	48	73	69	85	74	51	63	51	13	14	72	68	28	27	79	57	41	69	82	78	10	12	32	18	11	50	15	47	60	42	37	16	31	86	5	21	71	65	
398	606	537	725	936	924	1090	916	775	870	616	262	142	877	843	388	458	989	628	575	973	1062	973	129	81	421	134	291	1164	382	632	814	471	552	269	484	1175	118	168	815	612	
10	11	8	18	20	16	30	27	10	16	19	8	4	18	14	8	13	22	12	16	18	15	13	0	2	3	0	1	25	6	26	18	6	7	2	19	20	2	4	19	7	
4	3	6	7	6	5	7	5	7	4	7	3	4	5	5	8	2	13	2	5	10	7	4	0	1	5	1	0	10	3	4	8	2	5	1	4	11	1	0	8	3	
0	9	6	5	8	6	12	9	10	11	16	1	0	9	1	1	10	6	3	6	7	18	10	2	2	2	0	0	11	5	6	12	2	5	3	7	13	2	2	10	1	
3	5	7	5	8	8	17	18	3	9	6	7	1	9	7	3	11	9	3	7	7	5	10	1	0	2	1	1	6	2	3	3	2	11	1	17	8	4	0	7	4	
