"УИК №1800"	"УИК №1801"	"УИК №1802"	"УИК №1803"	"УИК №1804"	"УИК №1805"	"УИК №1806"	"УИК №1807"	"УИК №1808"	"УИК №1809"	"УИК №1810"	"УИК №1811"	
323	635	667	983	447	437	128	396	227	727	479	207	
303	573	679	986	447	439	130	398	229	730	479	207	
0	0	0	0	0	0	0	0	0	0	0	0	
289	527	637	880	421	180	103	328	188	648	449	125	
0	0	0	0	0	0	0	0	0	0	0	0	
14	46	42	106	26	259	27	70	41	82	30	82	
0	0	0	0	0	0	0	0	0	0	0	0	
288	527	637	880	421	180	103	328	188	648	449	125	
5	0	1	0	17	0	2	0	10	2	0	0	
283	527	636	880	404	180	101	328	178	646	449	125	
0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	

0	0	0	0	0	0	0	0	0	0	0	0	
4	17	4	1	8	18	0	10	1	4	16	47	
1	0	0	0	0	0	0	0	9	0	0	0	
278	510	632	879	395	162	101	318	168	642	431	78	
0	0	0	0	0	0	0	0	0	0	1	0	
0	0	0	0	1	0	0	0	0	0	1	0	
0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	
