"УИК №20"	"УИК №21"	"УИК №22"	"УИК №23"	"УИК №24"	"УИК №25"	"УИК №26"	"УИК №27"	"УИК №28"	"УИК №29"	"УИК №30"	"УИК №31"	"УИК №32"	"УИК №33"	"УИК №34"	"УИК №35"	"УИК №36"	
1969	1249	1168	1498	1121	1491	1141	1208	1645	886	259	904	871	734	886	956	945	
1900	1300	1200	1550	1200	1600	1350	1200	1700	970	270	900	1050	770	950	990	990	
650	0	0	0	0	0	88	0	311	358	0	0	0	0	0	296	198	
956	1012	1101	1115	959	1093	873	960	885	448	246	897	839	732	884	536	669	
14	7	23	20	8	123	14	10	15	18	0	0	21	0	0	115	49	
280	281	76	415	233	384	375	230	489	146	24	3	190	38	66	43	74	
664	7	23	20	8	123	102	10	326	376	0	0	21	0	0	411	247	
956	1012	1101	1115	959	1093	873	960	885	448	246	897	839	732	884	536	669	
20	14	9	16	9	16	14	29	0	6	4	0	10	4	12	7	2	
1600	1005	1115	1119	958	1200	961	941	1211	818	242	897	850	728	872	940	914	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

7	9	5	2	8	11	9	7	2	0	1	0	5	0	0	4	5	
267	105	35	136	72	135	102	106	157	69	23	22	108	50	15	11	72	
131	88	62	90	75	91	76	74	129	70	19	26	46	36	64	11	41	
1145	788	963	861	784	911	746	734	887	644	194	829	674	630	770	902	786	
20	9	41	8	10	23	13	11	14	19	4	10	10	6	7	2	4	
8	1	3	5	2	11	5	4	7	10	0	5	1	2	3	3	3	
10	3	5	7	4	2	4	2	7	1	0	2	1	4	6	5	2	
12	2	1	10	3	16	6	3	8	5	1	3	5	0	7	2	1	
