"УИК №1194"	"УИК №1195"	"УИК №1196"	"УИК №1197"	"УИК №1198"	"УИК №1199"	"УИК №1200"	"УИК №1201"	"УИК №1202"	"УИК №1203"	"УИК №1204"	"УИК №1205"	"УИК №1206"	"УИК №1207"	"УИК №1208"	"УИК №1209"	
985	2440	497	261	83	49	92	284	86	321	648	563	741	83	408	78	
900	2200	500	250	80	50	80	270	90	300	650	550	750	80	400	80	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
584	1575	324	209	59	35	70	205	73	208	435	354	437	61	275	50	
88	97	47	19	3	5	3	19	3	33	29	41	84	0	27	6	
228	528	129	22	18	10	7	46	14	59	186	155	229	19	98	24	
88	97	47	19	3	5	3	19	3	33	29	41	84	0	27	6	
584	1575	324	209	59	35	70	205	73	208	434	354	437	61	275	50	
6	25	6	3	0	0	0	0	0	3	2	9	5	2	0	1	
666	1647	365	225	62	40	73	224	76	238	461	386	516	59	302	55	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

4	7	1	0	2	1	0	1	0	0	2	0	5	0	2	0	
174	521	52	50	12	5	23	67	6	72	101	94	151	3	68	6	
74	96	40	13	3	2	11	18	6	23	43	36	46	2	23	8	
400	1000	266	160	44	32	39	136	64	142	308	252	305	54	207	41	
6	8	0	1	0	0	0	1	0	0	3	1	2	0	1	0	
4	7	1	1	0	0	0	0	0	0	3	1	4	0	1	0	
1	3	3	0	1	0	0	0	0	0	0	1	2	0	0	0	
3	5	2	0	0	0	0	1	0	1	1	1	1	0	0	0	
