"УИК №5701"	"УИК №5702"	"УИК №5703"	"УИК №5704"	"УИК №5705"	"УИК №5706"	"УИК №5707"	"УИК №5708"	"УИК №5709"	"УИК №5710"	"УИК №5711"	"УИК №5712"	"УИК №5713"	"УИК №5714"	"УИК №5715"	"УИК №5716"	"УИК №5717"	"УИК №5718"	
2058	2201	2446	1704	1758	2285	1825	2335	2274	1847	1832	1076	1568	958	1128	890	328	126	
2082	2213	2423	1731	1840	2233	1830	2366	2308	1862	1782	1063	1612	993	1143	905	337	119	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1427	1251	1495	974	1129	1332	919	1127	1084	929	1049	573	924	604	579	585	226	71	
248	257	293	93	156	297	209	258	274	393	156	90	148	118	94	164	30	15	
407	705	635	664	555	604	702	981	950	540	577	400	540	271	470	156	81	33	
248	257	293	93	156	297	209	258	274	393	156	90	148	118	94	164	30	15	
1427	1251	1495	974	1129	1332	919	1127	1084	929	1049	573	924	604	579	585	226	71	
29	12	27	14	26	19	24	19	9	2	27	9	11	11	7	5	4	0	
1646	1496	1761	1053	1259	1610	1104	1366	1349	1320	1178	654	1061	711	666	744	252	86	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

14	8	10	15	17	4	3	13	8	8	6	4	1	2	7	8	3	0	
270	190	266	149	203	193	145	226	189	178	204	90	186	115	101	186	34	7	
123	114	109	70	91	133	102	105	98	82	68	66	69	48	41	59	14	7	
1207	1150	1328	790	924	1258	827	993	1034	1022	878	478	782	530	508	471	193	70	
5	14	20	9	12	6	13	10	6	9	8	5	5	6	3	7	4	2	
13	9	14	8	4	7	8	13	7	11	7	5	7	6	3	8	3	0	
8	2	3	8	5	6	6	4	5	8	3	1	6	2	3	4	1	0	
6	9	11	4	3	3	0	2	2	2	4	5	5	2	0	1	0	0	
