"УИК №330"	"УИК №331"	"УИК №332"	"УИК №333"	"УИК №334"	"УИК №335"	"УИК №336"	"УИК №337"	"УИК №338"	"УИК №339"	"УИК №340"	"УИК №341"	"УИК №342"	"УИК №343"	"УИК №344"	"УИК №345"	"УИК №346"	"УИК №459"	
1386	647	309	348	279	198	849	226	1103	255	325	436	397	337	154	241	110	1200	
1350	630	300	338	271	192	827	220	1075	248	320	424	386	328	150	234	107	1200	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1307	619	284	307	257	178	807	211	1050	237	304	405	372	317	136	207	99	1200	
31	3	6	9	8	5	10	2	13	1	3	10	2	3	2	16	0	0	
12	8	10	22	6	9	10	7	12	10	13	9	12	8	12	11	8	0	
31	3	6	9	8	5	10	2	13	1	3	10	2	3	2	16	0	0	
1307	619	284	307	257	178	807	211	1050	237	304	405	372	317	136	207	99	1200	
3	1	1	0	1	0	2	1	2	1	1	1	1	1	1	1	1	3	
1335	621	289	316	264	183	815	212	1061	237	306	414	373	319	137	222	98	1197	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

4	2	3	1	4	6	7	2	3	2	4	6	5	7	8	11	7	10	
64	39	21	27	19	7	16	14	29	31	21	16	22	17	5	16	4	22	
1	0	1	1	1	1	0	1	0	1	1	1	0	1	1	1	0	1	
1256	576	259	283	236	165	787	190	1021	199	275	386	337	288	115	187	80	1155	
1	0	0	1	1	0	1	0	0	1	1	0	1	1	1	1	1	0	
1	1	1	0	0	1	0	1	1	0	0	1	0	0	0	0	0	1	
4	1	2	2	1	2	3	2	4	1	3	2	1	3	2	2	3	6	
4	2	2	1	2	1	1	2	3	2	1	2	7	2	5	4	3	2	
