"УИК №1506"	"УИК №1507"	"УИК №1508"	"УИК №1509"	"УИК №1510"	"УИК №1511"	"УИК №1512"	"УИК №1513"	"УИК №1514"	"УИК №1516"	"УИК №1517"	"УИК №1518"	"УИК №1519"	"УИК №1520"	"УИК №1521"	"УИК №1522"	
248	103	1118	1089	123	101	348	184	574	913	210	740	80	106	502	162	
260	110	1190	1120	130	110	350	190	580	950	200	780	80	110	550	170	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
159	70	683	631	82	69	230	125	378	524	106	442	60	48	322	94	
15	8	80	99	17	5	35	11	43	87	36	57	3	7	29	14	
86	32	427	390	31	36	85	54	159	339	58	281	17	55	199	62	
15	8	80	99	17	5	35	11	43	87	36	57	3	7	29	14	
159	70	683	631	82	69	230	125	378	524	106	440	60	48	322	94	
0	0	9	9	0	0	4	0	4	9	1	7	0	0	3	0	
174	78	754	721	99	74	261	136	417	602	141	490	63	55	348	108	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

0	0	4	3	0	0	2	0	1	3	1	2	0	2	4	0	
84	10	251	221	10	16	35	27	99	134	21	119	3	21	93	26	
7	5	46	45	4	6	26	8	35	38	10	31	12	5	23	9	
83	62	437	446	83	51	188	100	277	416	103	334	46	26	215	73	
0	0	3	2	1	1	5	0	1	4	2	2	0	1	6	0	
0	1	7	2	1	0	5	0	2	3	3	0	2	0	6	0	
0	0	3	0	0	0	0	0	1	2	0	0	0	0	1	0	
0	0	3	2	0	0	0	1	1	2	1	2	0	0	0	0	
