"УИК №234"	"УИК №235"	"УИК №236"	"УИК №237"	"УИК №238"	"УИК №239"	"УИК №240"	"УИК №241"	"УИК №242"	"УИК №243"	"УИК №244"	"УИК №245"	"УИК №246"	"УИК №247"	"УИК №248"	"УИК №249"	"УИК №250"	"УИК №251"	"УИК №252"	"УИК №253"	"УИК №254"	"УИК №255"	"УИК №256"	"УИК №257"	
880	235	361	198	376	51	531	84	258	293	296	473	2039	294	165	137	145	220	168	1925	367	405	90	178	
780	250	380	210	360	50	490	80	250	270	310	460	1900	290	170	140	130	250	180	1770	370	410	100	180	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
462	159	196	130	171	23	321	31	163	160	179	253	981	182	105	107	87	144	109	1131	251	250	58	108	
78	18	78	21	85	14	51	25	30	55	47	86	222	54	22	10	13	36	38	131	43	41	10	16	
240	73	106	59	104	13	118	24	57	55	84	121	697	54	43	23	30	70	33	508	76	119	32	56	
78	18	78	21	85	14	51	25	30	55	47	86	222	54	22	10	13	36	38	131	43	41	10	16	
462	159	196	130	171	23	321	31	163	160	179	253	981	182	105	107	87	144	109	1125	251	250	58	108	
7	4	1	0	1	0	2	0	1	2	0	0	3	1	0	3	0	2	0	17	0	1	0	1	
533	173	273	151	255	37	370	56	192	213	226	339	1200	235	127	114	100	178	147	1239	294	290	68	123	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

2	0	1	1	3	0	5	0	1	0	2	1	10	0	1	0	1	1	1	11	3	0	1	0	
99	25	40	9	16	2	20	7	22	47	38	22	249	86	34	33	3	18	44	254	24	49	15	12	
80	20	39	13	30	6	42	3	30	20	24	43	113	14	11	6	9	19	6	120	15	26	8	10	
335	121	187	121	200	27	286	43	134	141	156	261	796	124	80	72	86	137	94	810	246	205	40	100	
2	3	5	4	2	1	6	2	2	2	4	5	14	4	0	2	0	1	0	12	2	1	0	0	
5	3	1	2	3	1	6	1	1	0	1	3	6	2	0	0	1	2	1	16	4	4	1	0	
6	1	0	0	1	0	4	0	1	0	0	3	7	1	0	1	0	0	1	8	0	4	1	1	
4	0	0	1	0	0	1	0	1	3	1	1	5	4	1	0	0	0	0	8	0	1	2	0	
