"УИК №1601"	"УИК №1602"	"УИК №1603"	"УИК №1604"	"УИК №1605"	"УИК №1606"	"УИК №1607"	"УИК №1608"	"УИК №1609"	"УИК №1610"	"УИК №1611"	"УИК №1612"	"УИК №1613"	
1374	1405	2127	967	1201	919	1444	520	317	708	630	1197	1113	
1400	1400	2150	1000	1200	950	1500	500	300	700	650	1200	1150	
0	0	0	0	0	0	0	0	0	0	0	0	0	
650	642	1103	490	629	400	683	303	166	327	293	582	562	
36	45	75	34	21	44	83	18	24	33	72	75	35	
714	713	972	476	550	506	734	179	110	340	285	543	553	
36	45	75	34	21	44	83	18	24	33	72	75	35	
650	642	1103	490	629	400	683	303	166	327	293	582	562	
8	10	16	4	15	5	9	4	2	3	5	2	7	
678	677	1162	520	635	439	757	317	188	357	360	655	590	
0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	

4	2	11	7	6	4	5	1	1	1	0	7	5	
182	183	339	136	179	102	164	111	51	77	78	139	118	
64	56	80	44	50	26	41	11	15	14	18	37	47	
410	419	704	322	386	299	531	191	116	258	254	466	410	
6	9	13	7	8	3	3	2	2	3	3	3	3	
8	3	6	0	6	4	10	0	2	3	7	0	4	
3	4	5	2	0	0	2	1	0	0	0	2	2	
1	1	4	2	0	1	1	0	1	1	0	1	1	
