"УИК №442"	"УИК №443"	"УИК №444"	"УИК №445"	"УИК №446"	"УИК №447"	"УИК №448"	"УИК №449"	"УИК №450"	"УИК №451"	"УИК №452"	"УИК №453"	"УИК №454"	"УИК №455"	"УИК №456"	"УИК №457"	"УИК №458"	"УИК №459"	"УИК №461"	"УИК №462"	"УИК №463"	"УИК №464"	"УИК №465"	"УИК №466"	"УИК №467"	"УИК №468"	"УИК №469"	"УИК №470"	"УИК №471"	"УИК №472"	"УИК №473"	"УИК №474"	
590	406	331	198	748	525	427	175	558	717	944	428	1058	379	358	1115	534	855	617	374	681	251	174	345	401	375	267	341	870	901	556	210	
500	350	300	200	650	500	400	150	450	600	800	350	900	350	300	950	450	700	550	350	600	200	150	300	350	350	250	300	900	750	450	200	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
337	172	166	96	405	237	138	51	296	344	510	178	465	167	225	683	269	384	338	131	299	84	64	141	113	177	171	183	553	481	300	58	
97	72	85	40	151	94	165	65	77	154	83	156	201	100	52	94	105	125	138	123	139	50	51	106	201	117	40	65	78	68	31	112	
66	106	49	64	94	169	97	34	77	102	207	16	234	83	23	173	76	191	74	96	162	66	35	53	36	56	39	52	269	201	119	30	
97	72	85	40	151	94	165	65	77	153	83	156	201	100	52	94	105	125	138	123	139	50	51	106	201	117	40	65	78	68	31	112	
337	172	166	96	405	237	138	51	296	344	510	178	465	167	225	683	269	384	338	131	299	84	64	141	113	177	171	183	553	481	300	58	
4	4	0	1	1	3	3	0	7	8	6	3	0	0	3	17	4	6	1	0	0	0	1	1	0	0	0	4	4	3	5	0	
430	240	251	135	555	328	300	116	366	489	587	331	666	267	274	760	370	503	475	254	438	134	114	246	314	294	211	244	627	546	326	170	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

5	1	4	0	4	3	4	1	5	4	2	2	10	1	1	8	1	4	3	2	6	2	5	2	2	2	0	1	3	3	1	2	
35	19	14	13	34	27	25	10	38	63	57	24	61	20	9	64	19	82	49	22	55	7	15	22	25	52	8	7	36	41	32	9	
39	25	19	12	32	25	22	10	21	48	44	15	49	14	13	56	23	35	30	28	30	14	3	17	15	23	14	19	28	66	26	14	
338	191	210	109	477	264	227	93	289	360	471	276	530	225	245	604	314	355	377	193	323	102	86	197	270	214	186	213	548	420	261	135	
5	1	0	0	6	2	4	2	3	5	7	7	3	3	1	8	1	6	4	3	6	2	2	2	0	1	1	2	3	4	2	0	
2	1	3	1	0	4	6	0	3	1	3	3	4	2	1	6	5	6	7	1	5	2	3	3	2	1	1	0	2	5	0	4	
3	0	0	0	0	1	3	0	4	5	0	4	4	0	1	3	2	5	3	0	1	3	0	0	0	1	0	1	1	3	2	3	
3	2	1	0	2	2	9	0	3	3	3	0	5	2	3	11	5	10	2	5	12	2	0	3	0	0	1	1	6	4	2	3	
