"УИК №5001"	"УИК №5002"	"УИК №5003"	"УИК №5004"	"УИК №5005"	"УИК №5006"	"УИК №5007"	"УИК №5008"	"УИК №5009"	"УИК №5010"	"УИК №5011"	"УИК №5012"	"УИК №5013"	"УИК №5014"	"УИК №5015"	"УИК №5016"	"УИК №5017"	"УИК №5018"	"УИК №5019"	"УИК №5020"	"УИК №5022"	
1394	1377	146	430	162	205	151	75	365	150	514	154	532	160	99	141	489	159	302	502	155	
1475	1385	170	445	165	240	165	85	395	150	545	170	550	175	100	155	560	205	305	550	180	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
884	809	94	309	86	114	100	48	228	88	312	89	316	106	58	84	311	102	195	230	101	
109	98	31	29	38	33	32	6	52	26	73	26	119	15	24	40	63	25	40	59	16	
482	478	45	107	41	93	33	31	115	36	160	55	115	54	18	31	186	78	70	261	63	
109	98	31	29	38	33	32	6	52	26	73	26	119	15	24	40	63	25	40	59	16	
884	809	94	309	86	114	99	48	228	88	312	89	316	106	58	84	311	102	195	230	101	
13	14	0	2	1	1	0	2	2	3	3	0	7	0	0	0	4	0	0	4	2	
980	893	125	336	123	146	131	52	278	111	382	115	428	121	82	124	370	127	235	285	115	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

3	4	0	5	0	0	0	0	7	1	3	2	4	0	2	1	4	0	1	0	0	
85	82	8	17	18	5	10	3	30	16	32	12	52	10	6	20	54	11	8	18	4	
114	72	11	25	8	9	13	12	21	14	54	7	51	24	10	21	37	7	17	22	9	
756	711	102	275	95	131	108	37	216	75	281	92	310	86	64	81	269	107	198	243	100	
7	12	2	2	1	1	0	0	2	1	2	1	1	0	0	0	1	1	3	1	0	
8	4	0	2	1	0	0	0	2	2	3	0	5	1	0	0	3	1	2	0	2	
1	4	2	7	0	0	0	0	0	1	2	0	3	0	0	0	1	0	3	1	0	
6	4	0	3	0	0	0	0	0	1	5	1	2	0	0	1	1	0	3	0	0	
