"УИК №659"	"УИК №660"	"УИК №661"	"УИК №662"	"УИК №663"	
1633	1843	1496	1412	1492	
1700	1700	1500	1400	1400	
0	0	0	0	0	
1270	1366	1064	1008	1041	
44	63	25	24	35	
386	271	411	368	324	
44	62	25	24	35	
1270	1355	1063	1006	1041	
8	15	7	14	18	
1306	1402	1081	1016	1058	
0	0	0	0	0	
0	0	0	0	0	

9	4	5	4	6	
118	133	149	118	112	
124	108	79	78	72	
1018	1084	822	794	828	
23	53	10	11	20	
5	7	8	7	11	
7	3	4	0	3	
2	10	4	4	6	
