"УИК №1022"	"УИК №1023"	"УИК №1024"	"УИК №1025"	"УИК №1026"	"УИК №1027"	"УИК №1028"	"УИК №1029"	"УИК №1030"	"УИК №1031"	"УИК №1032"	"УИК №1033"	"УИК №1034"	"УИК №1035"	"УИК №1036"	"УИК №1037"	
998	1171	1029	1035	1013	1062	1009	982	1003	941	967	955	1029	1001	1022	1077	
1015	1210	1070	1035	869	1000	1014	1000	1055	1025	1090	1045	1050	1060	1075	1070	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
794	840	800	672	828	799	815	790	626	669	736	732	891	850	624	781	
45	25	46	70	41	40	34	28	42	42	13	88	77	41	84	40	
176	345	224	293	0	161	165	182	387	314	341	225	82	169	367	249	
45	25	46	70	41	40	34	28	42	42	13	88	77	41	84	40	
794	840	800	671	827	789	809	787	626	669	736	732	891	850	624	775	
1	105	2	1	0	1	0	0	3	4	8	0	0	13	10	10	
838	760	844	740	868	828	843	815	665	707	741	820	968	878	698	805	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

3	6	4	5	3	4	3	2	1	2	5	2	2	7	2	8	
132	132	108	122	127	109	108	119	113	146	88	105	166	101	145	179	
19	21	19	31	19	23	16	19	30	28	35	28	27	36	36	17	
664	582	700	566	704	666	702	659	498	511	563	662	749	699	486	561	
7	6	7	8	7	13	5	7	4	7	16	9	6	12	13	12	
1	5	2	5	2	3	2	2	4	7	9	8	11	6	6	14	
9	2	3	1	4	6	3	5	4	2	14	5	2	5	5	7	
3	6	1	2	2	4	4	2	11	4	11	1	5	12	5	7	
