"УИК №1397"	"УИК №1398"	"УИК №1399"	"УИК №1400"	"УИК №1401"	"УИК №1402"	"УИК №1403"	"УИК №1404"	"УИК №1405"	"УИК №1406"	"УИК №1407"	"УИК №1408"	"УИК №1409"	"УИК №1410"	"УИК №1411"	
698	332	675	356	645	369	245	115	170	285	1550	1557	1213	1007	628	
750	350	800	400	700	350	250	100	200	300	1700	1600	1400	1000	700	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
458	209	444	239	399	257	154	79	107	182	1022	1026	807	657	390	
68	24	87	28	55	19	23	15	21	19	79	113	72	92	37	
224	117	269	133	246	74	73	6	72	99	599	461	521	251	273	
68	24	86	28	55	19	23	15	21	19	79	113	72	92	37	
458	209	444	239	399	257	154	79	107	182	1022	1026	807	657	390	
9	5	5	4	2	3	2	0	0	0	18	20	10	8	5	
517	228	525	263	452	273	175	94	128	201	1083	1119	869	741	422	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

3	2	5	1	0	0	0	0	0	2	6	10	7	5	3	
152	103	159	46	139	96	65	30	37	41	426	400	402	330	123	
51	19	47	21	34	17	6	10	10	17	58	62	65	74	46	
304	99	301	189	267	158	101	53	76	137	573	631	380	325	239	
2	1	5	2	1	0	1	1	1	1	3	5	6	0	5	
2	4	7	1	7	1	1	0	3	1	11	8	6	5	4	
0	0	1	1	3	0	0	0	1	1	2	3	1	1	1	
3	0	0	2	1	1	1	0	0	1	4	0	2	1	1	
