"УИК №3801"	"УИК №3802"	"УИК №3803"	"УИК №3804"	"УИК №3805"	"УИК №3806"	"УИК №3807"	"УИК №3808"	"УИК №3809"	"УИК №3810"	"УИК №3811"	"УИК №3812"	"УИК №3813"	"УИК №3814"	"УИК №3815"	"УИК №3816"	"УИК №3817"	"УИК №3818"	"УИК №3819"	"УИК №3820"	"УИК №3821"	"УИК №3822"	"УИК №3823"	"УИК №3824"	"УИК №3825"	"УИК №3826"	"УИК №3827"	"УИК №3828"	"УИК №3829"	"УИК №3830"	"УИК №3831"	"УИК №3832"	"УИК №3833"	"УИК №3834"	"УИК №3835"	"УИК №3836"	"УИК №3837"	"УИК №3838"	"УИК №3839"	"УИК №3840"	"УИК №3841"	"УИК №3842"	"УИК №3843"	"УИК №3844"	"УИК №3845"	"УИК №3846"	
2312	2876	1925	1601	1488	171	1104	393	1642	1501	1806	1600	2654	239	148	207	1513	522	153	403	127	404	251	50	401	54	659	140	451	669	186	107	386	128	199	305	122	93	177	593	98	136	801	249	88	664	
2300	2900	1950	1600	1500	200	1100	400	1700	1550	1850	1600	2800	220	150	200	1600	530	140	400	100	380	240	60	440	55	670	155	450	700	180	100	400	120	180	300	120	90	160	600	90	130	920	250	100	700	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1077	1457	1077	809	588	117	542	201	642	706	982	807	1158	137	86	104	618	294	103	251	88	225	153	30	210	36	314	38	240	388	89	79	236	63	114	197	90	78	128	333	66	88	392	121	33	353	
70	30	30	22	67	0	50	14	119	96	51	50	65	7	10	7	70	22	2	9	8	42	9	0	34	8	32	53	37	60	21	3	21	13	20	20	4	0	0	21	15	8	23	7	4	36	
1153	1413	843	769	845	83	508	185	939	748	817	743	1577	76	54	89	912	202	35	140	4	113	78	30	179	11	324	64	173	252	70	18	143	44	46	83	26	12	32	246	9	34	505	122	63	311	
70	30	30	22	67	0	50	14	119	96	51	50	65	7	10	7	70	34	2	9	8	42	9	0	51	8	32	53	37	60	21	3	21	13	20	20	4	0	0	21	15	8	23	7	4	36	
1077	1457	1077	809	588	117	542	201	642	706	982	807	1158	137	86	104	618	294	103	251	88	225	153	30	210	36	314	38	240	388	89	79	236	63	114	197	90	78	128	333	66	88	392	121	33	353	
14	20	19	13	9	3	14	2	13	13	19	10	26	1	0	0	7	3	3	6	1	0	2	0	4	1	2	0	0	5	1	0	2	1	1	2	0	0	2	6	0	2	12	3	0	11	
1133	1467	1088	818	646	114	578	213	748	789	1014	847	1197	143	96	111	681	325	102	254	95	267	160	30	257	43	344	91	277	443	109	82	255	75	133	215	94	78	126	348	81	94	403	125	37	378	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

3	9	7	7	5	1	1	0	6	10	5	11	7	2	0	0	5	5	0	1	1	0	2	0	2	0	1	0	1	4	0	0	0	1	2	3	0	0	2	1	0	0	1	1	0	2	
158	213	200	132	82	12	70	24	122	135	190	130	160	5	3	0	47	24	13	19	6	5	4	0	29	9	40	3	24	42	16	1	26	6	6	22	5	13	6	28	3	0	35	7	9	42	
162	165	124	92	103	20	85	11	85	62	83	71	166	15	2	14	102	48	24	26	14	47	20	3	24	6	37	10	17	64	5	6	40	19	11	14	12	10	15	26	9	3	23	5	1	49	
790	1055	734	574	443	81	412	177	515	564	702	619	829	113	91	96	515	240	62	203	73	213	133	27	199	28	263	76	233	324	88	75	184	49	113	175	77	54	101	287	69	91	340	103	27	274	
8	8	10	2	2	0	3	0	5	7	5	6	5	2	0	1	5	4	1	1	0	0	1	0	1	0	0	1	1	3	0	0	2	0	0	1	0	0	1	3	0	0	1	2	0	4	
6	4	6	5	6	0	5	1	9	5	9	2	20	5	0	0	4	3	2	4	1	0	0	0	1	0	1	0	0	0	0	0	3	0	1	0	0	1	0	3	0	0	1	6	0	4	
5	4	3	5	5	0	1	0	2	1	8	5	5	0	0	0	2	1	0	0	0	2	0	0	1	0	2	1	1	5	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	1	
1	9	4	1	0	0	1	0	4	5	12	3	5	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	
