"УИК №740"	"УИК №741"	"УИК №742"	"УИК №743"	"УИК №744"	"УИК №745"	"УИК №746"	"УИК №747"	"УИК №748"	"УИК №749"	"УИК №750"	"УИК №751"	"УИК №752"	"УИК №753"	"УИК №754"	
1771	1838	336	341	235	198	347	180	1598	403	192	315	644	248	245	
1635	1710	300	315	215	175	320	155	1490	375	165	285	600	225	230	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1024	1030	143	107	81	85	119	101	775	221	81	175	237	127	100	
37	68	47	62	44	47	47	26	19	38	34	50	53	35	33	
574	612	110	146	90	43	154	28	696	116	50	60	310	63	97	
37	68	47	62	44	47	47	26	19	38	34	50	53	35	33	
1024	1030	143	107	81	85	119	101	775	221	81	175	237	127	100	
23	12	2	4	0	0	1	2	7	0	1	2	2	0	0	
1038	1086	188	165	125	132	165	125	787	259	114	223	288	162	133	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

9	3	1	1	4	0	0	3	7	1	1	1	1	0	1	
206	231	9	33	27	16	22	10	116	18	16	17	39	16	6	
76	99	15	10	18	15	12	4	87	19	18	22	13	6	9	
723	731	160	119	76	98	129	108	564	215	79	180	228	137	116	
11	11	0	1	0	1	0	0	6	0	0	2	3	2	1	
7	7	2	0	0	2	2	0	5	5	0	0	1	1	0	
4	4	0	1	0	0	0	0	1	1	0	1	3	0	0	
2	0	1	0	0	0	0	0	1	0	0	0	0	0	0	
