"УИК №360"	"УИК №361"	"УИК №362"	"УИК №363"	"УИК №364"	"УИК №365"	"УИК №366"	"УИК №367"	"УИК №368"	"УИК №369"	"УИК №370"	"УИК №371"	"УИК №372"	"УИК №373"	"УИК №374"	"УИК №375"	"УИК №376"	"УИК №377"	"УИК №378"	"УИК №379"	"УИК №380"	"УИК №381"	"УИК №382"	"УИК №383"	"УИК №384"	"УИК №385"	"УИК №386"	"УИК №387"	"УИК №388"	"УИК №389"	"УИК №390"	"УИК №391"	"УИК №392"	"УИК №393"	"УИК №394"	"УИК №395"	"УИК №396"	"УИК №397"	"УИК №398"	"УИК №399"	"УИК №400"	"УИК №401"	"УИК №402"	"УИК №403"	"УИК №404"	"УИК №405"	"УИК №406"	"УИК №407"	"УИК №408"	"УИК №409"	"УИК №410"	"УИК №411"	"УИК №412"	"УИК №413"	"УИК №414"	"УИК №415"	"УИК №416"	"УИК №417"	"УИК №418"	"УИК №419"	"УИК №420"	"УИК №421"	"УИК №422"	"УИК №423"	"УИК №424"	"УИК №425"	"УИК №426"	"УИК №427"	"УИК №428"	"УИК №429"	"УИК №430"	"УИК №431"	"УИК №432"	"УИК №433"	"УИК №434"	"УИК №435"	"УИК №436"	"УИК №437"	"УИК №438"	"УИК №439"	"УИК №440"	"УИК №441"	"УИК №442"	"УИК №443"	"УИК №444"	"УИК №445"	"УИК №446"	"УИК №447"	"УИК №448"	"УИК №449"	"УИК №450"	"УИК №451"	"УИК №452"	"УИК №453"	"УИК №454"	"УИК №455"	"УИК №456"	"УИК №457"	"УИК №458"	"УИК №459"	"УИК №460"	"УИК №461"	"УИК №462"	"УИК №463"	"УИК №464"	"УИК №465"	"УИК №466"	"УИК №467"	"УИК №468"	"УИК №469"	"УИК №470"	"УИК №471"	"УИК №472"	"УИК №473"	"УИК №474"	"УИК №475"	"УИК №476"	"УИК №477"	"УИК №478"	"УИК №479"	"УИК №480"	"УИК №481"	"УИК №482"	"УИК №483"	"УИК №484"	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

9	10	13	19	9	21	17	11	29	15	11	18	13	10	10	24	16	14	16	26	20	16	12	16	13	13	17	12	20	6	20	16	20	15	8	21	19	17	17	22	12	13	7	5	13	14	20	11	16	19	15	15	18	15	25	6	16	10	9	9	13	16	11	28	9	20	17	12	20	13	20	31	17	5	25	11	25	17	18	25	26	15	23	22	25	30	20	7	18	20	12	13	12	16	32	17	22	22	24	21	22	26	21	16	5	12	14	12	24	13	12	1	8	11	1	8	8	3	8	2	4	1	0	1	0	
136	182	204	282	244	353	339	250	346	266	254	264	268	183	260	332	209	318	177	316	321	387	258	290	184	192	226	201	255	197	233	310	220	227	161	295	322	396	253	362	317	233	127	248	140	315	289	243	247	168	306	239	288	189	288	157	237	259	244	100	159	295	214	268	137	319	301	235	232	201	273	289	261	114	272	273	253	222	225	287	322	316	298	237	312	307	215	178	187	174	195	193	147	249	302	381	286	184	239	279	218	286	133	221	87	260	308	233	255	354	261	171	47	199	24	94	25	29	47	24	34	33	37	5	26	
25	43	53	62	51	73	83	70	59	59	54	49	52	40	59	61	28	40	44	38	37	70	46	55	52	38	55	62	71	58	55	67	61	80	42	55	78	96	76	104	62	73	45	45	39	74	54	57	57	45	67	60	71	43	62	66	57	69	52	34	62	63	38	48	46	65	70	45	36	48	40	47	22	26	53	87	38	48	58	73	49	45	63	34	62	54	51	39	60	40	42	36	33	60	56	62	55	36	34	39	47	63	20	75	28	53	68	46	106	64	95	34	169	77	10	39	13	13	14	9	30	8	5	0	9	
475	524	694	964	618	999	760	853	1043	760	673	729	724	592	720	921	561	749	613	841	864	1031	810	782	714	568	739	574	839	666	660	841	680	578	592	818	878	1153	822	1040	893	646	504	591	526	699	655	692	589	537	836	667	1009	658	846	649	678	813	690	400	606	747	595	805	420	886	787	801	634	632	753	958	692	363	673	686	817	618	625	945	868	721	949	726	936	929	752	540	590	548	739	677	452	671	951	1009	860	522	652	666	719	841	589	725	296	646	789	634	1067	838	798	488	435	668	90	387	101	76	223	101	190	98	127	27	67	
15	22	22	40	15	30	12	22	39	30	16	23	30	17	22	48	30	41	27	43	43	36	18	24	20	25	16	16	20	17	14	36	16	17	18	17	24	32	20	32	28	14	14	17	9	16	11	25	17	12	34	23	31	22	17	13	10	32	18	11	12	15	18	27	12	36	33	55	26	36	43	62	29	27	19	19	55	39	32	43	48	44	54	23	44	56	37	22	26	30	36	34	17	34	68	40	36	36	25	37	35	52	29	31	5	18	25	12	15	18	14	11	41	15	7	7	4	3	2	0	14	3	2	0	2	
6	1	2	5	7	11	3	6	9	4	3	8	4	4	10	9	4	4	8	8	5	9	9	3	5	5	11	1	11	5	7	7	8	8	6	16	6	9	11	7	7	6	3	4	7	5	9	4	5	5	5	4	13	8	16	8	12	5	9	2	8	9	4	8	4	12	7	9	3	9	3	17	4	2	12	7	5	8	3	3	7	5	7	11	2	7	5	4	5	5	9	3	6	7	7	15	6	3	7	2	6	9	5	4	2	8	10	5	7	3	3	9	1	3	0	5	0	1	7	2	4	1	0	0	0	
2	14	6	13	5	19	9	11	12	4	4	12	8	5	16	20	5	16	10	11	9	12	8	4	4	7	8	6	13	10	7	9	11	6	7	9	6	5	8	10	13	5	4	4	4	11	10	11	19	9	9	9	16	12	9	6	6	5	3	5	5	3	6	7	3	12	7	7	10	15	23	19	21	8	12	6	23	10	11	11	7	12	12	11	17	27	22	5	14	11	10	16	10	15	21	26	12	12	11	12	13	12	13	7	0	2	10	10	16	7	9	6	8	7	0	2	1	0	2	0	4	2	3	0	1	
10	15	3	16	2	21	12	6	19	12	4	10	12	9	13	23	15	25	19	33	33	9	5	16	8	16	15	13	16	5	8	12	15	15	3	17	16	24	6	12	6	7	0	9	2	8	13	18	4	6	26	16	22	12	12	7	7	17	11	10	13	12	6	8	1	12	18	21	21	24	27	27	34	2	11	2	33	13	18	23	18	15	32	17	29	21	13	4	19	23	53	23	25	20	47	44	32	26	28	17	26	37	13	11	3	7	10	9	14	11	2	12	7	5	0	4	2	1	3	1	2	3	1	0	0	
