"УИК №621"	"УИК №622"	"УИК №623"	"УИК №624"	"УИК №625"	"УИК №626"	"УИК №627"	"УИК №628"	"УИК №629"	"УИК №630"	"УИК №631"	"УИК №632"	"УИК №633"	"УИК №634"	"УИК №635"	"УИК №636"	"УИК №637"	"УИК №638"	"УИК №639"	"УИК №640"	"УИК №641"	"УИК №642"	"УИК №643"	
268	128	108	312	224	176	121	1390	595	747	93	162	173	166	241	189	107	1794	1669	1752	1835	644	545	
330	160	115	340	245	195	140	1450	625	800	90	180	220	200	280	235	140	1850	1720	1850	1860	670	650	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
143	79	77	133	99	80	91	647	382	364	57	56	98	99	134	95	80	945	901	976	888	299	311	
27	41	11	75	83	64	22	178	73	120	23	68	59	27	77	39	20	114	155	131	185	109	130	
160	40	27	132	63	51	27	625	170	316	10	56	63	74	69	101	40	791	664	743	787	262	209	
27	41	11	75	83	64	22	178	73	120	23	68	59	27	77	39	20	114	155	131	185	109	130	
143	79	77	133	99	80	91	647	382	364	57	56	98	99	134	95	80	945	901	976	888	299	311	
2	0	0	1	0	1	0	9	3	4	0	0	0	1	1	0	0	13	15	9	10	2	8	
168	120	88	207	182	143	113	816	452	480	80	124	157	125	210	134	100	1046	1041	1098	1063	406	433	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

2	0	0	1	0	1	0	3	1	1	2	2	0	2	3	0	1	6	7	13	9	3	3	
14	3	10	36	22	23	7	136	26	28	6	16	19	13	13	1	5	121	141	121	127	26	40	
15	11	6	29	22	17	15	90	79	60	11	26	11	14	25	15	14	130	130	116	139	51	55	
135	106	67	134	134	101	91	565	341	381	58	80	124	94	168	115	78	752	718	806	762	313	324	
0	0	0	4	0	0	0	8	2	3	1	0	2	1	0	1	0	18	14	16	6	6	3	
0	0	3	2	3	0	0	4	1	3	1	0	1	0	0	1	1	11	11	10	11	3	3	
1	0	2	1	0	1	0	6	1	4	1	0	0	0	1	0	1	6	5	14	5	3	3	
1	0	0	0	1	0	0	4	1	0	0	0	0	1	0	1	0	2	15	2	4	1	2	
