"УИК №501"	"УИК №502"	"УИК №503"	"УИК №504"	"УИК №505"	"УИК №506"	"УИК №507"	"УИК №508"	"УИК №509"	"УИК №510"	"УИК №511"	"УИК №512"	"УИК №513"	"УИК №514"	"УИК №515"	"УИК №516"	"УИК №517"	"УИК №518"	"УИК №519"	"УИК №520"	"УИК №521"	"УИК №522"	"УИК №523"	"УИК №524"	"УИК №525"	"УИК №526"	"УИК №527"	"УИК №528"	"УИК №529"	"УИК №530"	"УИК №531"	"УИК №532"	"УИК №533"	"УИК №534"	"УИК №535"	"УИК №536"	"УИК №537"	"УИК №538"	"УИК №539"	"УИК №540"	"УИК №541"	"УИК №542"	"УИК №543"	"УИК №544"	"УИК №545"	"УИК №546"	"УИК №547"	"УИК №548"	"УИК №549"	"УИК №550"	"УИК №551"	"УИК №552"	"УИК №553"	"УИК №554"	"УИК №555"	"УИК №556"	"УИК №580"	"УИК №581"	
2310	1268	1931	1637	887	1248	1935	1655	769	1673	1245	1718	1460	1506	2237	2483	2734	2084	2354	1969	2530	1111	1578	1811	2710	1838	2036	2272	2474	1962	1653	2205	2184	2167	2408	2054	2130	2153	2281	2275	858	2218	2535	2328	1794	898	1518	2170	2526	1990	2583	2834	1315	2052	1372	1789	1099	580	
2300	1100	1800	1500	850	1100	1700	1500	600	1100	1200	1700	1300	1500	2200	2400	2600	2050	2300	2000	2300	1050	1600	1800	2400	1700	1900	2200	2400	1900	1600	2200	2000	1400	2300	2000	2100	2100	2350	2200	800	2150	2500	2300	1700	850	1500	2000	2500	2000	2500	2800	1300	2000	1510	1500	1300	700	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1622	759	998	943	519	660	1229	943	434	944	753	890	864	866	1407	1361	1566	1189	1260	816	1461	634	901	1031	1362	988	1120	1035	1174	1032	873	1080	1076	1134	1337	1144	1292	1322	1130	968	455	1227	1339	1140	887	528	821	1222	1371	1176	1492	1624	712	1145	991	872	1099	423	
13	25	42	23	9	27	24	18	9	40	10	28	18	15	14	33	17	11	18	5	22	25	24	7	342	20	17	27	17	32	8	24	31	53	20	31	38	28	41	55	17	6	23	25	13	5	19	17	11	12	16	26	16	9	16	3	0	0	
665	316	760	534	322	413	447	539	157	116	437	782	418	619	779	1006	1017	850	1022	1179	817	391	675	762	696	692	763	1138	1209	836	719	1096	893	213	943	825	770	750	1179	1177	328	917	1138	1135	800	317	660	761	1118	812	992	1150	572	846	503	625	201	277	
13	25	42	23	9	27	24	18	9	40	10	28	18	15	14	33	17	11	18	5	22	25	24	7	342	20	17	27	17	32	8	24	31	53	20	31	38	28	41	55	17	6	23	25	13	5	19	17	11	12	16	26	16	9	16	3	0	0	
1622	758	997	943	519	660	1229	943	434	944	753	889	862	866	1407	1361	1565	1188	1260	816	1461	634	901	1031	1359	978	1120	1034	1173	1031	873	1080	1074	1132	1333	1144	1292	1318	1130	967	455	1227	1339	1140	887	528	821	1222	1371	1175	1492	1624	712	1145	991	872	1099	422	
15	10	11	63	5	8	23	16	7	15	9	13	13	11	12	16	18	8	7	6	12	13	16	14	19	13	13	12	15	15	14	19	15	20	9	13	20	12	15	7	5	12	22	19	4	3	9	15	12	15	18	21	9	14	17	11	49	12	
1620	773	1028	903	523	679	1230	945	436	969	754	904	867	870	1409	1378	1564	1191	1271	815	1471	646	909	1024	1682	985	1124	1049	1175	1048	867	1085	1090	1165	1344	1162	1310	1334	1156	1015	467	1221	1340	1146	896	530	831	1224	1370	1172	1490	1629	719	1140	990	864	1050	410	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

14	8	6	7	5	4	11	9	5	13	7	9	14	8	8	10	6	8	7	8	16	12	12	8	16	16	11	8	12	11	6	8	11	6	11	15	12	15	13	4	2	3	10	9	8	4	5	5	7	9	7	16	6	8	4	7	7	2	
281	149	243	206	106	180	262	225	112	252	204	218	206	248	345	305	409	295	321	190	290	137	212	243	355	215	279	224	301	284	218	249	282	260	313	306	354	319	280	229	83	306	312	274	249	106	152	261	319	259	338	403	175	276	211	217	115	125	
148	44	36	42	27	27	77	50	31	45	24	31	45	41	60	75	81	59	58	60	90	30	50	44	85	70	57	53	70	48	41	63	64	77	59	57	67	89	66	64	33	67	81	50	48	27	46	58	80	68	82	74	33	61	67	45	215	13	
1059	515	641	591	358	412	789	597	259	585	483	585	552	517	879	890	959	744	773	507	976	430	564	666	1111	622	680	696	735	668	553	694	677	740	883	715	793	820	726	656	327	766	863	736	523	357	580	820	894	777	970	1041	443	747	646	514	628	233	
67	28	40	22	18	23	43	31	12	39	19	27	22	25	54	47	47	41	44	21	47	16	37	26	66	23	46	31	26	25	24	42	26	33	34	21	41	41	33	30	5	37	25	31	36	14	27	39	29	24	46	48	30	28	23	40	66	26	
9	3	8	6	0	3	7	5	4	5	5	7	3	7	6	7	6	8	14	6	6	4	7	8	8	9	5	5	6	2	6	4	9	12	8	9	9	9	9	5	6	7	8	8	6	5	5	4	6	4	10	11	5	5	8	5	6	0	
21	12	28	10	2	14	19	15	7	12	6	8	8	10	17	15	23	22	27	12	16	9	12	13	17	8	25	18	10	6	8	10	9	13	12	20	15	19	12	8	5	10	18	14	16	9	7	13	17	16	15	15	10	8	11	14	5	4	
21	14	26	19	7	16	22	13	6	18	6	19	17	14	40	29	33	14	27	11	30	8	15	16	24	22	21	14	15	4	11	15	12	24	24	19	19	22	17	19	6	25	23	24	10	8	9	24	18	15	22	21	17	7	20	22	8	7	
