"УИК №2601"	"УИК №2602"	"УИК №2603"	"УИК №2604"	"УИК №2605"	"УИК №2606"	"УИК №2607"	"УИК №2608"	"УИК №2609"	"УИК №2610"	"УИК №2611"	"УИК №2612"	"УИК №2613"	"УИК №2614"	"УИК №2615"	"УИК №2616"	"УИК №2617"	"УИК №2618"	"УИК №2619"	"УИК №2620"	"УИК №2621"	"УИК №2622"	"УИК №2623"	"УИК №2624"	"УИК №2625"	"УИК №2626"	
692	651	845	581	1452	778	1567	1516	653	1404	1321	1361	1425	1439	745	702	1334	610	877	1311	1349	1329	1398	1432	1259	199	
600	500	750	550	1350	700	1400	1400	550	1250	1200	1250	1300	1350	600	650	1250	550	800	1200	1250	1200	1300	1300	1150	201	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
427	406	494	359	977	417	966	889	426	911	824	915	904	883	458	393	841	312	445	767	760	846	891	801	687	123	
73	72	85	28	63	43	76	86	21	102	135	63	87	68	38	27	59	65	88	147	57	91	54	129	129	73	
100	22	171	163	310	240	358	425	103	237	241	272	309	399	104	230	350	173	267	286	433	263	355	370	334	5	
73	72	85	28	63	43	76	86	21	102	135	63	87	68	38	27	59	65	88	147	57	91	54	129	129	73	
427	406	494	359	977	417	966	888	426	911	824	915	904	883	458	393	841	312	445	767	760	846	890	801	687	123	
11	6	6	5	14	8	13	14	9	14	13	9	23	15	3	8	14	2	9	14	13	5	16	12	12	3	
489	472	573	382	1026	452	1029	960	438	999	946	969	968	936	493	412	886	375	524	900	804	932	928	918	804	193	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

2	3	3	1	17	6	7	3	0	8	6	6	5	5	2	7	8	1	1	2	4	2	7	9	4	0	
63	41	69	43	172	49	105	124	51	155	105	126	135	133	67	53	122	52	69	107	125	114	154	85	88	16	
26	26	31	17	38	22	68	64	27	52	86	38	43	42	32	18	53	24	26	61	56	47	45	57	48	12	
393	393	452	310	765	361	824	737	354	762	729	764	759	728	387	323	682	288	414	711	595	755	700	750	650	162	
0	2	7	1	10	7	10	12	1	8	2	10	7	6	3	4	11	3	6	10	5	5	9	5	3	0	
2	3	5	5	11	5	11	12	4	6	11	13	11	12	1	3	1	6	7	5	9	7	7	5	5	3	
2	1	2	4	6	2	2	2	0	4	6	5	3	4	0	1	3	1	0	2	4	1	5	6	3	0	
1	3	4	1	7	0	2	6	1	4	1	7	5	6	1	3	6	0	1	2	6	1	1	1	3	0	
