"УИК №102"	"УИК №103"	"УИК №104"	"УИК №105"	"УИК №106"	"УИК №107"	"УИК №108"	"УИК №109"	"УИК №110"	"УИК №111"	"УИК №112"	"УИК №132"	
1218	668	1400	896	860	1527	1513	648	1507	1392	636	1501	
1200	650	1400	900	850	1400	1500	600	1400	1300	600	1500	
0	0	0	0	0	0	0	0	0	0	0	0	
668	400	904	524	488	993	906	346	861	841	362	971	
61	16	30	25	27	126	31	28	84	45	34	57	
471	234	466	351	335	281	563	226	455	414	204	472	
61	16	30	25	27	126	31	28	84	45	34	57	
668	400	904	524	488	993	906	346	860	840	362	971	
11	3	8	4	12	20	12	5	12	5	5	14	
718	413	926	545	503	1099	925	369	932	880	391	1014	
0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	

9	2	8	4	1	15	9	3	8	7	0	5	
108	85	140	91	54	202	155	48	147	142	63	185	
79	60	80	85	71	95	105	47	107	102	49	83	
499	251	662	350	355	744	629	262	638	601	269	710	
12	5	16	3	12	14	10	2	16	12	2	12	
3	4	9	5	4	11	8	4	6	8	3	5	
5	4	9	5	5	10	5	3	4	7	4	6	
3	2	2	2	1	8	4	0	6	1	1	8	
