"УИК №801"	"УИК №802"	"УИК №803"	"УИК №804"	"УИК №805"	"УИК №806"	"УИК №807"	"УИК №808"	"УИК №809"	"УИК №810"	"УИК №811"	"УИК №812"	"УИК №813"	"УИК №814"	"УИК №815"	"УИК №816"	"УИК №817"	"УИК №818"	"УИК №819"	"УИК №820"	"УИК №821"	"УИК №822"	"УИК №823"	"УИК №824"	"УИК №825"	"УИК №826"	"УИК №827"	"УИК №828"	"УИК №829"	"УИК №830"	"УИК №831"	"УИК №832"	
1173	810	334	475	337	728	222	257	956	274	231	485	558	208	183	1346	1172	1231	116	1116	1153	603	2288	571	556	1063	282	1132	1159	318	789	228	
1160	810	320	480	350	720	220	250	960	260	240	470	560	200	170	1360	1190	1270	110	1150	1180	610	2290	550	540	1080	290	1140	1190	320	810	230	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
848	639	274	358	276	544	152	194	749	200	160	307	500	146	130	925	728	752	83	888	873	441	1748	444	300	909	156	829	662	214	665	198	
112	106	42	40	28	134	55	48	132	55	41	143	36	50	32	150	221	306	27	172	180	118	328	84	213	150	90	136	200	74	87	14	
200	65	4	82	46	42	13	8	79	5	39	20	24	4	8	285	241	212	0	90	127	51	214	22	27	21	44	175	328	32	58	18	
112	106	42	40	28	134	55	48	132	55	41	143	36	50	32	150	221	306	27	172	180	118	328	84	213	150	90	136	200	74	87	14	
848	639	274	358	276	544	152	194	749	200	160	307	500	146	130	925	728	752	83	888	873	441	1748	444	300	909	156	829	662	214	665	198	
9	2	6	5	3	0	0	1	4	0	0	2	6	3	1	13	10	4	0	6	5	0	27	0	36	7	2	8	10	0	1	0	
951	743	310	393	301	678	207	241	877	255	201	448	530	193	161	1062	939	1054	110	1054	1048	559	2049	528	477	1052	244	957	852	288	751	212	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

1	3	0	2	0	0	0	0	2	1	0	1	5	1	0	8	0	1	2	4	4	0	10	3	3	1	1	9	6	1	1	1	
120	55	20	25	23	34	8	14	43	10	8	25	26	20	13	124	128	20	3	89	92	25	124	17	33	83	16	98	116	23	23	7	
52	17	21	16	15	15	14	8	16	10	12	9	18	7	10	63	61	13	1	51	38	21	59	27	21	36	18	40	57	19	11	8	
759	657	268	345	252	622	184	219	803	230	176	403	470	164	136	848	735	1016	103	890	902	512	1817	473	412	919	204	785	662	235	710	193	
13	3	1	2	2	3	0	0	4	1	2	5	4	0	1	8	6	2	1	11	4	1	15	2	3	6	2	12	5	5	1	1	
3	3	0	2	4	3	1	0	8	2	2	4	5	0	1	5	5	1	0	5	3	0	10	3	1	2	2	7	4	2	2	1	
3	4	0	1	3	1	0	0	0	0	0	1	2	0	0	6	3	0	0	2	2	0	5	1	2	4	1	3	1	1	3	0	
0	1	0	0	2	0	0	0	1	1	1	0	0	1	0	0	1	1	0	2	3	0	9	2	2	1	0	3	1	2	0	1	
