"УИК №1081"	"УИК №1082"	"УИК №1083"	"УИК №1084"	"УИК №1085"	"УИК №1086"	"УИК №1087"	"УИК №1088"	"УИК №1089"	"УИК №1090"	"УИК №1091"	"УИК №1092"	"УИК №1093"	"УИК №1094"	"УИК №1095"	"УИК №1096"	"УИК №1098"	"УИК №1099"	"УИК №1100"	"УИК №1101"	"УИК №1102"	"УИК №1103"	"УИК №1104"	"УИК №1105"	"УИК №1106"	"УИК №1107"	"УИК №1108"	"УИК №1109"	"УИК №1110"	"УИК №1111"	"УИК №1112"	"УИК №1113"	"УИК №1114"	"УИК №1115"	"УИК №1116"	
572	775	517	614	296	74	948	1091	722	806	872	270	575	598	868	965	338	2233	1947	2274	2311	2292	210	688	298	576	552	440	970	791	563	1795	1110	442	695	
590	800	490	650	315	78	980	1140	805	866	920	310	600	650	880	960	330	2200	2000	2300	2250	2300	190	680	270	570	550	450	935	815	580	1900	1150	430	700	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
362	494	267	386	196	54	564	793	513	549	590	200	410	485	599	673	230	1530	1293	1398	1334	1418	151	446	209	504	417	328	540	383	318	1100	633	298	509	
55	59	60	55	49	6	135	65	45	56	85	30	47	54	93	142	41	83	108	103	207	131	17	29	52	21	67	35	73	204	78	228	135	62	55	
173	247	163	209	70	18	281	282	247	261	245	80	143	111	188	145	59	587	599	799	709	751	22	205	9	45	66	87	322	228	184	572	382	70	136	
55	59	60	55	49	6	135	65	45	56	85	30	47	54	93	142	41	83	108	103	207	131	17	29	52	21	67	35	73	204	78	228	135	62	55	
362	494	267	386	196	54	564	793	513	549	590	200	410	485	599	673	230	1528	1293	1398	1334	1418	151	446	209	504	417	328	540	383	318	1100	633	298	509	
2	0	3	8	3	0	8	6	2	2	17	2	7	3	3	5	3	17	17	16	11	20	2	6	2	9	5	3	7	2	2	22	2	5	4	
415	553	324	433	242	60	691	852	556	603	658	228	450	536	689	810	268	1594	1384	1485	1530	1529	166	469	259	516	479	360	606	585	394	1306	766	355	560	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

1	1	2	4	2	1	5	2	3	1	2	2	3	1	1	3	3	6	11	5	11	6	4	0	1	2	1	2	1	3	3	11	5	1	4	
56	39	20	25	9	2	41	64	35	44	47	8	43	22	110	80	10	216	165	217	230	217	4	47	13	52	28	29	27	36	32	113	41	19	59	
30	34	17	30	21	4	43	47	28	30	41	18	22	18	38	48	14	97	69	73	81	99	13	39	17	20	31	19	30	24	26	70	53	30	39	
321	471	283	364	208	51	591	726	484	524	559	197	371	485	530	664	240	1244	1119	1160	1167	1175	142	378	223	437	414	307	542	513	322	1083	662	301	444	
2	1	1	2	0	1	0	3	2	3	4	0	6	4	5	8	0	8	4	13	11	11	0	4	3	1	3	0	2	5	5	3	0	0	4	
1	4	1	5	1	0	8	9	2	1	4	2	3	5	3	6	0	15	9	11	17	10	1	1	1	1	2	1	2	2	6	13	3	4	7	
4	3	0	1	1	1	1	1	1	0	0	0	1	0	0	0	1	4	5	2	9	8	0	0	0	1	0	1	1	1	0	7	1	0	3	
0	0	0	2	0	0	2	0	1	0	1	1	1	1	2	1	0	4	2	4	4	3	2	0	1	2	0	1	1	1	0	6	1	0	0	
