"УИК №139"	"УИК №140"	"УИК №141"	"УИК №142"	"УИК №143"	"УИК №144"	"УИК №145"	"УИК №146"	"УИК №147"	"УИК №148"	"УИК №149"	"УИК №150"	"УИК №151"	"УИК №152"	"УИК №153"	"УИК №154"	"УИК №155"	"УИК №156"	"УИК №157"	"УИК №158"	"УИК №159"	"УИК №160"	"УИК №161"	"УИК №162"	"УИК №163"	"УИК №164"	"УИК №165"	"УИК №166"	"УИК №167"	"УИК №168"	"УИК №169"	"УИК №170"	"УИК №171"	"УИК №172"	"УИК №173"	
1279	1722	1675	673	1775	2149	1235	535	167	498	179	816	2345	785	1479	1900	658	972	957	328	420	621	632	1259	1267	227	1086	321	1919	495	521	725	1597	548	598	
1200	1700	1600	650	1700	2130	1000	500	167	450	140	800	2341	750	1300	1850	650	950	900	285	375	600	600	1200	1200	230	1000	295	1800	450	500	650	1500	500	500	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
785	852	915	316	1105	1430	813	270	78	274	89	483	1437	371	811	1151	327	535	554	113	282	262	339	824	764	115	681	208	960	299	303	455	898	331	325	
59	42	59	17	40	22	20	29	8	10	25	46	52	33	84	23	21	19	26	78	14	49	25	37	39	16	25	14	198	14	15	30	27	3	33	
356	806	626	317	555	678	167	201	81	166	26	271	852	346	405	676	302	396	320	94	79	289	236	339	397	99	294	73	642	137	182	165	575	166	142	
59	42	59	17	40	22	20	29	8	10	25	46	52	33	84	23	21	19	26	78	14	49	25	37	39	16	25	14	198	14	15	30	27	3	33	
785	852	915	316	1105	1430	813	270	78	274	89	483	1437	371	811	1150	327	535	554	113	282	262	339	823	764	115	681	208	960	299	303	455	898	331	325	
7	10	12	4	10	11	7	2	0	3	1	6	17	2	5	14	4	2	4	3	2	0	8	5	9	1	9	1	9	3	3	6	4	2	2	
837	884	962	329	1135	1441	826	297	86	281	113	523	1472	402	890	1159	344	552	576	188	294	311	356	855	794	130	697	221	1149	310	315	479	921	332	356	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

4	13	9	0	7	14	7	2	0	1	0	7	11	3	7	9	1	5	3	2	1	2	8	10	5	0	4	0	14	0	1	2	7	1	3	
116	131	139	46	181	218	152	26	19	41	11	83	249	44	98	168	40	82	117	15	44	27	74	140	108	19	95	18	134	37	41	50	133	54	63	
93	89	82	29	85	97	60	18	7	18	15	61	146	38	93	109	36	56	41	22	21	30	24	84	62	20	86	12	70	27	33	53	83	42	24	
590	613	692	244	806	1051	565	241	54	210	86	358	1016	298	643	815	245	384	397	144	203	246	239	586	589	87	495	184	889	239	227	365	658	226	261	
11	9	13	4	21	29	16	5	0	4	0	4	14	8	19	14	8	15	9	2	8	2	5	13	13	2	7	3	11	2	4	3	15	3	1	
3	3	7	3	11	12	9	1	1	1	0	5	6	4	10	12	5	3	1	0	4	3	5	3	8	1	1	2	10	0	7	0	5	2	0	
8	14	13	2	17	10	9	3	4	3	1	1	20	7	12	17	5	2	5	2	2	1	1	7	6	1	4	1	10	1	1	3	7	2	0	
12	12	7	1	7	10	8	1	1	3	0	4	10	0	8	15	4	5	3	1	11	0	0	12	3	0	5	1	11	4	1	3	13	2	4	
