"УИК №983"	"УИК №984"	"УИК №985"	"УИК №986"	"УИК №987"	"УИК №988"	"УИК №989"	"УИК №990"	"УИК №991"	"УИК №992"	"УИК №993"	"УИК №994"	"УИК №995"	"УИК №996"	"УИК №997"	"УИК №998"	"УИК №999"	"УИК №1000"	"УИК №1001"	"УИК №1002"	"УИК №1003"	"УИК №1004"	"УИК №1005"	"УИК №1006"	"УИК №1007"	"УИК №1008"	"УИК №1009"	"УИК №1010"	"УИК №1011"	"УИК №1012"	"УИК №1013"	"УИК №1014"	"УИК №1015"	"УИК №1016"	
1153	928	779	1132	1176	1069	555	552	679	1558	594	285	234	1263	395	1430	1120	198	955	261	941	745	181	150	1253	216	637	732	1208	187	782	714	230	71	
1000	850	700	1000	1050	950	500	500	600	1300	550	280	220	1100	350	1250	1000	190	900	250	800	650	180	140	1150	200	550	650	1100	180	700	600	220	80	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
814	654	569	914	961	713	388	406	489	1077	464	196	166	912	277	1078	937	176	818	238	645	560	170	127	1078	182	532	528	921	137	633	563	155	51	
46	75	27	35	53	37	40	37	53	75	22	19	21	77	25	80	45	5	60	12	52	51	8	3	72	18	18	41	34	3	58	28	11	19	
140	121	104	51	36	200	72	57	58	148	64	65	33	111	48	92	18	9	22	0	103	39	2	10	0	0	0	81	145	40	9	9	54	10	
46	75	27	35	53	37	40	37	53	75	22	19	21	77	25	80	45	5	60	12	52	51	8	3	72	18	18	41	34	3	58	28	11	19	
814	654	569	914	961	713	388	406	489	1077	464	196	166	912	277	1078	937	176	818	238	645	560	170	127	1078	182	532	528	921	137	633	563	155	51	
6	12	14	11	9	14	11	5	6	17	8	3	3	14	0	5	5	2	4	2	14	13	0	6	5	1	12	2	0	2	6	10	4	3	
854	717	582	938	1005	736	417	438	536	1135	478	212	184	975	302	1153	977	179	874	248	683	598	178	124	1145	199	538	567	955	138	685	581	162	67	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

2	1	0	1	3	3	1	0	1	5	1	1	0	0	1	1	0	0	0	0	2	2	0	1	5	0	0	0	2	0	1	1	0	0	
13	12	12	15	14	17	2	5	10	62	16	1	6	16	5	13	9	0	7	13	8	8	0	0	21	0	6	9	13	0	7	16	0	0	
11	18	10	6	22	12	3	5	4	14	6	1	4	9	2	6	5	1	7	1	17	8	5	3	10	2	3	22	22	3	9	8	3	0	
816	673	544	898	938	684	401	410	498	993	432	203	170	942	285	1120	953	169	850	228	625	569	173	110	1081	195	489	530	883	134	651	531	152	60	
5	10	8	12	24	18	8	16	16	39	20	4	3	8	9	12	9	4	7	3	24	7	0	8	22	2	19	4	27	0	9	20	6	3	
1	1	2	2	1	0	0	0	2	4	1	0	0	0	0	1	1	2	1	2	2	0	0	0	1	0	7	1	2	0	1	1	1	0	
4	0	2	2	1	0	0	0	0	4	0	0	0	0	0	0	0	2	0	1	2	0	0	1	2	0	4	0	1	1	4	0	0	0	
2	2	4	2	2	2	2	2	5	14	2	2	1	0	0	0	0	1	2	0	3	4	0	1	3	0	10	1	5	0	3	4	0	4	
