"УИК №2301"	"УИК №2302"	"УИК №2303"	"УИК №2304"	"УИК №2305"	"УИК №2306"	"УИК №2307"	"УИК №2308"	"УИК №2309"	"УИК №2310"	"УИК №2311"	"УИК №2312"	"УИК №2313"	"УИК №2314"	"УИК №2315"	"УИК №2316"	"УИК №2317"	"УИК №2318"	"УИК №2319"	"УИК №2320"	"УИК №2321"	"УИК №2322"	"УИК №2323"	"УИК №2324"	"УИК №2325"	"УИК №2326"	"УИК №2327"	"УИК №2328"	"УИК №2329"	"УИК №2330"	"УИК №2331"	"УИК №2332"	"УИК №2333"	"УИК №2334"	"УИК №2335"	"УИК №2336"	"УИК №2337"	"УИК №2338"	"УИК №2339"	"УИК №2340"	"УИК №2341"	"УИК №2342"	"УИК №2343"	"УИК №2344"	"УИК №2345"	"УИК №2346"	"УИК №2347"	"УИК №2348"	"УИК №2349"	"УИК №2350"	"УИК №2351"	
1833	2487	1818	2286	1543	1532	2030	1188	1631	852	2814	2192	1182	1729	1009	1278	1162	1053	3085	2241	885	979	894	966	237	481	1363	1280	453	326	683	727	603	786	823	231	1417	615	398	720	543	612	673	777	769	876	1467	1435	1608	1319	1439	
1430	2030	1310	1780	1210	1160	1610	1100	1310	660	2130	1730	1020	1520	790	1140	1040	970	2620	1830	780	930	880	920	220	460	1260	1150	420	280	660	720	580	780	830	230	1260	620	380	670	540	600	640	720	690	770	1330	1300	1570	1190	1230	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
977	1568	1136	1049	781	853	828	559	772	377	1396	1078	698	865	557	727	632	504	1772	1287	595	728	699	738	183	312	528	524	233	149	279	302	381	323	653	176	843	430	284	329	303	348	434	585	487	525	1141	755	646	775	915	
80	166	102	158	87	50	111	42	68	96	58	39	32	77	51	121	98	114	98	111	53	58	35	55	8	127	169	292	87	95	128	116	108	116	59	16	123	121	61	162	173	212	138	69	67	72	99	93	111	119	79	
373	296	72	573	342	257	671	499	470	187	676	613	290	578	182	292	310	352	750	432	132	144	146	127	29	21	563	334	100	36	253	302	91	341	118	38	294	69	35	179	64	40	68	66	136	173	90	452	813	296	236	
80	166	102	158	87	50	111	42	68	96	58	39	32	77	51	121	98	114	98	111	53	58	35	55	8	127	169	292	87	95	128	116	108	116	59	16	123	121	61	162	173	212	138	69	67	72	99	93	111	119	79	
977	1568	1136	1049	781	851	828	559	772	377	1396	1076	698	865	557	727	631	504	1772	1287	595	728	699	738	183	312	528	524	233	149	279	302	381	323	653	176	843	430	284	329	303	348	434	585	487	525	1141	755	646	775	915	
11	8	7	18	8	11	13	6	14	2	15	12	10	11	5	3	15	1	19	12	2	9	2	9	4	0	10	9	1	2	1	3	2	5	0	0	16	2	6	2	1	2	2	8	4	3	8	9	1	8	7	
1046	1726	1231	1189	860	890	926	595	826	471	1439	1103	720	931	603	845	714	617	1851	1386	646	777	732	784	187	439	687	807	319	242	406	415	487	434	712	192	950	549	339	489	475	558	570	646	550	594	1232	839	756	886	987	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

4	6	4	8	4	5	5	4	6	0	14	14	3	5	6	4	2	0	15	11	5	6	2	5	0	2	3	3	2	4	0	3	8	2	2	3	8	3	3	3	3	3	2	0	2	2	5	5	10	0	2	
134	149	138	172	93	133	110	57	111	56	150	107	104	88	52	58	67	55	239	135	64	68	54	68	13	25	85	75	23	24	51	19	36	49	60	10	86	38	21	25	76	37	48	73	53	53	164	91	75	73	114	
54	172	56	67	39	37	52	29	46	25	78	63	27	62	33	137	63	36	93	62	31	44	41	32	12	6	33	56	20	19	30	30	28	22	28	10	66	24	26	25	12	20	18	37	37	25	42	30	57	56	39	
826	1358	1004	914	700	682	734	495	634	381	1138	888	560	750	498	630	566	508	1431	1133	525	643	622	662	160	402	557	653	272	191	322	356	406	354	614	163	769	481	275	424	374	493	496	516	447	500	1012	693	600	741	812	
10	15	6	11	12	10	5	4	11	3	18	15	16	6	4	2	3	2	32	13	6	3	3	4	1	0	5	8	0	0	2	2	2	2	5	4	9	2	8	4	7	0	1	3	4	3	2	10	6	3	5	
6	11	11	3	5	10	11	2	10	2	14	5	5	10	3	4	5	5	14	4	3	3	0	4	1	2	2	3	0	1	0	3	4	3	2	1	3	0	3	3	1	3	3	1	2	7	4	0	1	8	6	
4	12	5	7	3	10	4	2	6	1	14	7	1	6	4	5	6	5	14	15	6	9	5	7	0	2	0	4	1	1	1	1	2	1	1	0	7	1	2	3	0	1	2	12	4	2	3	3	4	5	3	
8	3	7	7	4	3	5	2	2	3	13	4	4	4	3	5	2	6	13	13	6	1	5	2	0	0	2	5	1	2	0	1	1	1	0	1	2	0	1	2	2	1	0	4	1	2	0	7	3	0	6	
