"УИК №919"	"УИК №920"	"УИК №921"	"УИК №922"	"УИК №923"	"УИК №924"	"УИК №925"	"УИК №926"	"УИК №927"	"УИК №928"	"УИК №929"	"УИК №930"	"УИК №931"	"УИК №932"	"УИК №933"	"УИК №934"	"УИК №935"	"УИК №936"	
258	1031	500	259	157	1080	1012	894	1014	1200	1439	953	1046	984	991	1075	1051	1111	
260	910	500	270	145	1130	1030	930	1000	1250	1174	980	1070	1000	1010	1090	1011	1140	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
239	763	451	249	130	780	939	822	950	925	1095	702	979	921	835	715	568	573	
14	142	40	9	15	240	53	49	47	47	57	71	45	39	65	170	129	59	
7	5	9	12	0	110	38	59	3	278	22	197	46	40	110	205	314	508	
14	142	40	9	15	240	53	49	47	47	57	71	45	39	65	170	129	59	
239	763	451	249	130	780	939	822	950	925	1095	702	979	921	835	715	568	573	
0	0	0	1	0	0	11	0	11	2	22	19	4	0	9	0	8	0	
253	905	491	257	145	1020	981	871	986	970	1130	754	1020	960	891	885	689	632	
0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

1	3	0	0	0	7	1	2	3	4	7	2	0	4	5	4	5	3	
2	27	10	15	2	21	42	12	16	16	32	110	12	42	13	17	9	29	
6	49	13	7	6	9	24	5	15	8	154	75	9	28	20	16	81	11	
240	795	461	234	136	972	901	847	944	931	889	541	991	866	838	838	582	576	
1	9	2	1	0	3	3	2	3	4	28	15	1	7	3	3	1	5	
1	9	0	0	1	0	5	0	1	1	7	4	2	6	4	3	4	2	
2	9	3	0	0	2	1	1	3	2	2	4	2	3	2	3	4	4	
0	4	2	0	0	6	4	2	1	4	11	3	3	4	6	1	3	2	
