"УИК №1410"	"УИК №1411"	"УИК №1412"	"УИК №1413"	"УИК №1414"	"УИК №1415"	"УИК №1416"	"УИК №1417"	"УИК №1418"	"УИК №1419"	"УИК №1420"	"УИК №1421"	"УИК №1422"	"УИК №1423"	"УИК №1424"	"УИК №1425"	"УИК №1426"	"УИК №1427"	"УИК №1428"	"УИК №1429"	"УИК №1430"	"УИК №1431"	"УИК №1432"	
278	500	208	221	282	216	395	507	201	136	305	217	681	367	455	222	325	443	1630	218	404	206	448	
277	502	210	225	283	215	394	510	200	135	307	217	675	371	460	220	323	443	1503	218	406	205	451	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
258	471	191	203	270	198	357	494	182	133	277	201	616	332	423	196	301	421	1409	202	381	186	431	
15	20	14	18	6	14	32	4	15	0	23	12	50	28	23	23	19	14	94	12	15	16	9	
4	11	5	4	7	3	5	12	3	2	7	4	9	11	14	1	3	8	0	4	10	3	11	
15	20	14	18	6	14	32	4	15	0	23	12	50	28	23	23	19	14	94	12	15	16	9	
258	471	191	203	270	198	357	494	182	133	277	201	616	332	423	196	301	421	1409	202	381	186	431	
0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	1	0	
273	491	205	221	276	212	389	498	197	133	300	213	663	359	446	219	320	435	1503	214	396	201	440	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

0	1	0	0	1	0	0	0	1	1	0	0	1	0	2	1	0	2	4	0	1	0	2	
6	16	7	6	8	6	11	14	4	5	8	6	19	10	12	6	15	14	30	6	11	5	13	
2	4	3	4	2	3	6	5	2	1	4	3	6	5	2	1	0	3	23	3	3	3	4	
260	465	195	210	263	202	371	474	188	126	285	203	633	342	424	208	305	414	1427	204	377	192	418	
3	2	0	0	1	0	0	1	1	0	1	1	1	1	0	0	0	2	2	1	3	0	1	
0	1	0	0	0	0	1	1	1	0	0	0	1	0	2	1	0	0	6	0	0	0	0	
0	1	0	1	0	0	0	1	0	0	2	0	1	1	2	1	0	0	7	0	0	1	0	
2	1	0	0	1	1	0	2	0	0	0	0	1	0	2	1	0	0	4	0	1	0	2	
