"УИК №330"	"УИК №331"	"УИК №332"	"УИК №333"	"УИК №334"	"УИК №335"	"УИК №336"	"УИК №337"	"УИК №338"	"УИК №339"	"УИК №340"	"УИК №341"	"УИК №342"	"УИК №343"	"УИК №344"	"УИК №345"	"УИК №346"	"УИК №347"	"УИК №348"	"УИК №349"	"УИК №350"	"УИК №351"	"УИК №352"	"УИК №353"	"УИК №354"	"УИК №355"	"УИК №356"	"УИК №357"	"УИК №358"	"УИК №359"	"УИК №360"	"УИК №361"	"УИК №362"	"УИК №363"	"УИК №364"	"УИК №365"	"УИК №366"	"УИК №367"	"УИК №368"	"УИК №369"	"УИК №370"	"УИК №371"	"УИК №372"	"УИК №373"	"УИК №374"	"УИК №375"	"УИК №378"	"УИК №379"	"УИК №380"	"УИК №381"	"УИК №382"	"УИК №383"	"УИК №384"	"УИК №385"	"УИК №386"	"УИК №387"	"УИК №388"	"УИК №389"	"УИК №390"	"УИК №391"	"УИК №392"	"УИК №393"	"УИК №394"	"УИК №395"	"УИК №396"	"УИК №397"	"УИК №398"	"УИК №399"	"УИК №400"	"УИК №401"	"УИК №403"	"УИК №404"	"УИК №405"	"УИК №406"	"УИК №407"	"УИК №408"	"УИК №409"	
2073	1271	2046	2094	2126	1070	1940	1564	1741	1357	1577	1532	1885	3318	2023	1866	1463	2387	1810	1494	2189	1455	1399	1349	1427	1894	1717	2010	1458	1433	1198	1746	1647	1676	1559	1536	1177	1198	1967	1623	1744	1906	2662	2353	2897	2666	1422	1517	2180	1556	1721	2313	1538	2475	2473	2301	2022	1852	961	2057	2007	2445	1228	1615	1876	2451	1502	2185	1458	1705	658	523	347	473	703	240	346	
1500	1000	1500	2000	2000	1000	1500	1500	1500	1500	1500	1500	1500	3500	1500	1500	1500	2000	1500	1500	2000	1500	1500	1500	1500	1500	1500	2000	1500	1500	1000	1500	1500	1500	1500	1500	1000	1000	1500	1500	1500	1500	2000	1500	2000	2000	1500	1500	2000	1500	2000	1500	1500	2000	2000	2000	1500	1500	1000	2000	2000	2500	1500	1500	2000	2000	1500	1500	1500	1500	1000	1000	1000	1000	1000	1000	1000	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1348	751	1287	1340	1669	763	1257	1003	1176	842	1024	1019	1294	3274	1361	1377	1015	1351	1237	1100	1566	999	1009	992	991	1237	1077	1076	1134	890	707	1185	1052	1011	1108	1058	666	838	1182	1062	1173	1291	1867	1271	1527	1857	1016	1094	1379	997	1363	1440	949	1521	1540	1385	1370	1069	655	1416	1539	1433	953	1095	1481	1929	1004	1374	1047	1083	18	404	325	316	521	231	337	
31	10	9	22	17	21	23	13	42	20	47	34	36	2	48	51	48	73	52	32	33	35	26	22	23	25	39	38	36	46	15	43	40	34	44	25	27	31	44	32	41	46	35	57	43	28	17	43	32	23	20	28	54	42	32	30	46	40	14	43	20	29	29	18	46	23	46	41	14	32	640	119	20	110	165	9	0	
121	239	204	638	314	216	220	484	282	638	429	447	170	224	91	72	437	576	211	368	401	466	465	486	486	238	384	886	330	564	278	274	408	455	348	417	307	131	274	406	286	163	98	172	430	115	467	363	589	480	617	32	497	437	428	585	84	391	331	541	441	1038	518	387	473	48	450	85	439	385	342	477	655	574	314	760	663	
31	10	9	22	17	21	23	13	42	20	47	34	36	2	48	51	48	73	52	32	33	35	26	22	23	25	39	38	36	46	15	43	40	34	44	25	27	31	44	32	41	46	35	57	43	28	17	43	32	23	20	28	54	42	32	30	46	40	14	43	20	29	29	18	46	23	46	41	14	32	640	119	20	110	165	9	0	
1347	749	1281	1338	1666	763	1256	1001	1174	842	1024	1015	1284	3268	1361	1372	1015	1348	1237	1060	1562	989	1004	992	985	1233	1072	1058	1130	890	707	1182	1049	1009	1101	1050	666	838	1182	1060	1172	1282	1867	1267	1525	1857	1015	1094	1376	997	1209	1435	947	1517	1539	1382	1370	1069	655	1412	1538	1431	952	1087	1477	1929	1000	1372	1047	1082	18	403	325	316	521	231	337	
16	11	23	11	13	6	18	13	24	5	18	18	9	63	20	23	13	21	54	20	25	18	12	18	18	26	8	16	15	13	14	20	16	14	16	18	10	19	17	18	21	21	24	15	24	16	8	10	14	15	7	16	12	22	29	27	20	10	9	24	42	32	14	21	21	55	17	12	29	19	8	7	8	5	4	2	6	
1362	748	1267	1349	1670	778	1261	1001	1192	857	1053	1031	1311	3207	1389	1400	1050	1400	1235	1072	1570	1006	1018	996	990	1232	1103	1080	1151	923	708	1205	1073	1029	1129	1057	683	850	1209	1074	1192	1307	1878	1309	1544	1869	1024	1127	1394	1005	1222	1447	989	1537	1542	1385	1396	1099	660	1431	1516	1428	967	1084	1502	1897	1029	1401	1032	1095	650	515	337	421	682	238	331	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
