"УИК №206"	"УИК №207"	"УИК №208"	"УИК №209"	"УИК №210"	"УИК №212"	"УИК №213"	"УИК №214"	"УИК №215"	"УИК №217"	"УИК №218"	"УИК №219"	"УИК №221"	"УИК №222"	"УИК №223"	"УИК №224"	"УИК №226"	"УИК №227"	"УИК №230"	"УИК №232"	"УИК №234"	"УИК №236"	"УИК №238"	"УИК №239"	"УИК №241"	"УИК №242"	"УИК №243"	"УИК №244"	"УИК №245"	"УИК №247"	"УИК №249"	"УИК №250"	"УИК №251"	"УИК №252"	"УИК №254"	"УИК №255"	
208	77	1104	1014	1111	658	320	626	320	527	190	250	172	263	106	274	202	469	235	243	494	165	559	184	264	127	117	375	426	139	634	190	293	317	322	413	
200	80	1000	1000	1000	650	300	600	300	550	200	250	180	250	90	280	200	450	250	250	500	170	570	180	250	130	100	350	400	150	650	190	280	300	300	400	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
122	47	652	530	625	396	154	295	167	272	84	123	111	131	64	153	85	253	140	122	253	62	279	113	147	80	74	230	234	95	341	68	178	185	190	260	
17	9	33	69	33	37	41	90	27	96	25	69	23	45	19	38	59	68	42	54	85	39	66	21	23	18	16	37	74	13	48	25	28	34	29	39	
61	24	315	401	342	217	105	215	106	182	91	58	46	74	7	89	56	129	68	74	162	69	225	46	80	32	10	83	92	42	261	97	74	81	81	101	
17	9	33	69	33	37	41	90	27	96	25	69	23	45	19	38	59	68	42	54	85	39	66	21	23	18	16	37	74	13	48	25	28	33	29	39	
122	47	652	530	625	396	154	295	167	272	84	123	111	131	64	153	85	253	140	122	253	62	279	113	147	80	74	230	234	95	341	68	178	185	190	260	
2	2	3	2	12	4	3	2	0	9	0	1	0	1	0	0	0	6	1	1	6	2	0	1	1	2	0	4	0	0	3	0	1	4	6	2	
137	54	682	597	646	429	192	383	194	359	109	191	134	175	83	191	144	315	181	175	332	99	345	133	169	96	90	263	308	108	386	93	205	214	213	297	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

2	0	4	2	2	1	0	2	0	2	0	0	3	0	0	2	1	0	1	2	3	0	0	0	1	0	0	4	1	0	0	1	1	2	4	1	
8	9	124	78	85	58	10	53	11	52	7	15	15	6	8	25	7	33	27	40	34	9	63	22	9	3	16	22	36	12	67	4	10	11	33	54	
8	5	56	61	67	44	10	42	12	21	10	17	13	14	5	15	20	27	17	15	34	9	51	12	17	12	6	24	35	13	33	11	25	20	25	27	
115	39	488	445	484	307	168	278	169	277	89	158	102	152	70	142	116	253	134	113	257	78	228	97	141	80	68	206	230	81	283	77	166	178	149	210	
2	0	3	5	4	8	2	4	1	3	0	0	1	2	0	4	0	0	1	0	0	2	0	0	0	0	0	1	4	0	3	0	0	2	0	1	
1	1	3	0	0	3	1	3	0	3	0	0	0	0	0	1	0	2	1	5	1	0	1	2	0	1	0	4	2	0	0	0	3	1	1	1	
1	0	2	4	3	5	0	1	0	0	0	1	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	2	0	1	0	0	0	0	0	1	
0	0	2	2	1	3	1	0	1	1	3	0	0	1	0	0	0	0	0	0	1	1	2	0	1	0	0	0	0	1	0	0	0	0	1	2	
