"УИК №2301"	"УИК №2302"	"УИК №2303"	"УИК №2304"	"УИК №2305"	"УИК №2306"	"УИК №2307"	"УИК №2308"	"УИК №2309"	"УИК №2310"	"УИК №2311"	"УИК №2312"	"УИК №2313"	"УИК №2314"	"УИК №2315"	"УИК №2316"	"УИК №2317"	"УИК №2318"	"УИК №2319"	"УИК №2320"	"УИК №2321"	"УИК №2322"	"УИК №2323"	"УИК №2324"	"УИК №2325"	"УИК №2326"	"УИК №2327"	"УИК №2328"	"УИК №2329"	"УИК №2330"	"УИК №2331"	"УИК №2332"	"УИК №2333"	"УИК №2334"	"УИК №2335"	"УИК №2336"	"УИК №2337"	"УИК №2338"	"УИК №2339"	"УИК №2340"	
588	1125	2444	2562	2150	2016	1597	2591	2499	1855	2562	1543	2050	1884	1866	1436	1390	1347	2206	2302	1932	1944	1831	2072	2208	2564	1513	1619	1960	2255	2587	2362	1808	868	543	39	162	244	153	245	
500	1000	2200	2200	2000	1900	1600	2500	2400	1800	2500	1500	2000	1800	1800	1300	1200	1200	2000	2200	1900	1900	1700	2000	2000	2200	1400	1500	1800	2000	2200	2100	1700	700	535	39	162	245	152	250	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
325	608	1417	1406	1191	1161	936	1491	1627	1187	1419	833	1037	1166	1068	992	895	842	1277	1244	1013	911	1077	1249	1391	1522	923	874	1132	1302	1514	1340	996	465	344	38	127	244	123	241	
23	34	40	55	32	60	21	58	34	41	45	41	48	55	45	21	54	25	58	68	44	46	31	33	13	50	39	30	58	33	54	85	68	74	184	1	35	0	23	0	
152	358	743	739	777	679	643	951	739	572	1036	626	915	579	687	287	251	333	665	888	843	943	592	718	596	628	438	596	610	665	632	675	636	161	7	0	0	1	6	9	
23	34	40	55	32	60	21	58	34	41	45	41	48	55	45	21	54	25	58	68	44	46	31	33	13	50	39	30	58	33	54	85	68	74	184	1	35	0	23	0	
325	608	1417	1406	1191	1161	936	1491	1627	1187	1419	833	1037	1164	1068	989	894	842	1277	1244	1013	911	1077	1249	1391	1522	923	874	1132	1302	1514	1340	996	465	344	38	127	244	123	241	
5	6	17	9	13	17	15	12	14	9	16	17	21	18	12	13	12	7	10	12	13	9	10	10	22	24	14	17	7	8	20	12	14	4	4	0	3	5	2	2	
343	636	1440	1452	1210	1204	942	1537	1647	1219	1448	857	1064	1201	1101	997	936	860	1325	1300	1044	948	1098	1272	1382	1548	948	887	1183	1327	1548	1413	1050	535	524	39	159	239	144	239	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

1	9	9	8	6	11	14	11	24	15	8	8	4	18	19	10	12	12	9	10	6	5	9	9	13	15	3	5	4	8	6	10	8	6	5	0	1	1	1	1	
52	97	180	182	169	175	144	212	247	194	190	138	122	139	150	170	127	129	186	152	131	109	134	146	217	210	101	97	143	216	218	195	145	69	60	4	20	6	11	33	
25	55	99	101	93	83	61	94	81	65	123	62	71	69	44	62	66	47	84	93	58	62	88	95	68	97	56	57	66	67	95	94	82	20	36	2	4	49	9	15	
257	454	1099	1108	903	893	681	1123	1207	868	1057	614	828	892	828	705	668	622	984	995	813	747	820	970	1029	1173	748	703	926	991	1183	1071	789	429	411	30	131	156	117	181	
4	10	22	16	13	10	15	40	41	33	31	17	14	38	28	25	27	17	27	20	14	12	22	17	25	23	16	11	24	15	18	14	5	2	6	0	1	19	5	5	
3	5	10	20	7	10	11	8	10	11	11	9	13	10	5	2	7	7	8	10	11	4	5	8	9	8	5	3	8	13	13	9	6	2	1	0	1	2	0	1	
1	4	15	11	11	7	6	27	12	18	15	6	5	15	16	4	18	7	10	3	10	7	13	16	6	11	10	9	5	4	6	11	7	4	3	0	0	2	0	0	
0	2	6	6	8	15	10	22	25	15	13	3	7	20	11	19	11	19	17	17	1	2	7	11	15	11	9	2	7	13	9	9	8	3	2	3	1	4	1	3	
