"УИК №1019"	"УИК №1020"	"УИК №1021"	"УИК №1022"	"УИК №1023"	"УИК №1024"	"УИК №1025"	"УИК №1026"	"УИК №1027"	"УИК №1028"	"УИК №1029"	"УИК №1030"	"УИК №1031"	"УИК №1032"	"УИК №1033"	"УИК №1034"	"УИК №1035"	"УИК №1036"	"УИК №1037"	"УИК №1038"	"УИК №1039"	"УИК №1040"	"УИК №1041"	"УИК №1042"	"УИК №1043"	"УИК №1044"	"УИК №1045"	"УИК №1046"	"УИК №1047"	"УИК №1048"	"УИК №1049"	"УИК №1050"	
2023	2142	2054	1511	762	1189	483	1418	773	580	336	688	240	943	740	432	905	294	476	159	980	437	140	960	270	644	736	246	178	1423	784	75	
1900	2000	2025	1350	650	1050	420	1300	680	480	310	650	210	900	680	380	850	250	400	150	1000	400	150	870	250	565	650	220	160	1300	680	100	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1439	1631	1458	1277	606	784	376	1071	497	437	282	557	179	720	585	336	626	232	336	121	728	319	110	637	232	501	572	155	126	1158	634	75	
74	76	73	59	43	55	18	56	30	41	10	38	16	45	59	16	66	16	38	15	70	37	2	45	16	51	38	26	3	75	32	0	
387	293	494	14	1	211	26	173	153	2	18	55	15	135	36	28	158	2	26	14	202	44	38	188	2	13	40	39	31	67	14	25	
74	76	73	59	43	55	18	56	30	41	10	38	16	45	59	16	66	16	38	15	70	37	2	45	16	51	38	26	3	75	32	0	
1439	1631	1458	1277	606	784	376	1071	497	437	282	557	179	720	585	336	626	232	336	121	728	319	110	637	232	501	572	155	126	1158	634	75	
21	16	22	12	5	21	6	9	6	7	1	11	3	16	1	2	14	7	4	0	7	7	3	12	0	6	9	1	2	17	11	0	
1492	1691	1509	1324	644	818	388	1118	521	471	291	584	192	749	643	350	678	241	370	136	791	349	109	670	248	546	601	180	127	1216	655	75	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

3	2	3	3	0	0	0	2	2	1	0	0	0	3	2	0	0	1	0	0	1	1	0	1	1	1	2	0	1	2	4	0	
37	42	33	15	11	31	1	38	14	10	3	15	8	28	7	3	11	7	3	0	26	11	7	17	5	17	4	3	1	21	13	2	
15	24	20	9	2	11	7	7	13	7	3	11	6	4	7	2	7	2	9	0	13	2	2	8	5	11	13	3	3	9	13	0	
1409	1580	1419	1281	624	714	364	1053	478	450	281	537	171	702	619	338	634	230	349	134	721	311	98	623	234	495	565	171	110	1157	605	70	
22	30	26	13	4	49	11	15	11	3	3	17	4	5	4	5	19	1	4	1	21	20	2	20	2	17	12	0	9	18	13	3	
2	3	0	1	1	0	2	1	0	0	0	2	1	0	1	0	2	0	1	1	0	2	0	1	0	0	1	3	0	1	1	0	
0	4	4	2	0	4	1	1	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	3	1	0	0	1	1	0	
4	6	4	0	2	9	2	1	3	0	1	2	2	7	3	2	5	0	4	0	7	0	0	0	1	2	3	0	3	7	5	0	
