"УИК №22"	"УИК №23"	"УИК №24"	"УИК №25"	"УИК №26"	"УИК №27"	"УИК №28"	"УИК №29"	"УИК №30"	"УИК №31"	"УИК №32"	"УИК №33"	"УИК №34"	"УИК №35"	"УИК №36"	"УИК №37"	"УИК №38"	
2175	145	728	1175	545	481	416	155	267	411	173	228	404	244	228	221	298	
2275	154	727	1190	572	498	430	164	272	428	188	231	444	253	243	238	332	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1485	87	496	654	312	265	208	79	164	255	116	153	291	169	162	124	185	
255	35	102	263	118	112	70	50	59	77	21	28	34	23	19	55	54	
535	32	129	273	142	121	152	35	49	96	51	50	119	61	62	59	93	
255	35	102	263	118	112	70	50	59	77	21	28	34	23	19	55	54	
1485	87	496	654	312	265	208	79	164	255	116	153	291	169	162	124	185	
10	0	4	2	4	0	1	1	0	1	0	1	0	1	1	0	0	
1730	122	594	915	426	377	277	128	223	331	137	180	325	191	180	179	239	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

5	0	2	3	0	0	2	0	0	2	0	0	2	1	1	0	2	
98	4	39	46	10	25	20	8	11	26	11	13	19	5	3	8	9	
62	4	39	35	22	8	12	7	8	4	9	4	4	10	6	3	9	
1541	111	503	818	391	341	242	111	200	297	114	158	292	173	166	167	218	
7	1	7	1	0	1	0	0	3	0	0	0	1	1	2	0	1	
7	0	3	7	1	1	1	2	1	2	3	1	2	1	1	1	0	
5	1	0	3	2	0	0	0	0	0	0	0	1	0	0	0	0	
5	1	1	2	0	1	0	0	0	0	0	4	4	0	1	0	0	
