"УИК №420"	"УИК №421"	"УИК №422"	"УИК №423"	"УИК №424"	"УИК №425"	"УИК №426"	"УИК №427"	"УИК №428"	"УИК №429"	"УИК №430"	"УИК №431"	"УИК №432"	"УИК №433"	"УИК №434"	"УИК №435"	"УИК №436"	"УИК №437"	"УИК №438"	"УИК №439"	"УИК №440"	"УИК №441"	"УИК №442"	"УИК №443"	"УИК №444"	"УИК №445"	"УИК №446"	"УИК №447"	"УИК №448"	"УИК №449"	"УИК №450"	"УИК №451"	"УИК №452"	"УИК №453"	"УИК №454"	"УИК №455"	"УИК №456"	"УИК №457"	"УИК №458"	"УИК №459"	"УИК №460"	"УИК №461"	"УИК №462"	"УИК №463"	"УИК №464"	"УИК №465"	"УИК №466"	"УИК №536"	"УИК №539"	"УИК №694"	
1785	2587	2121	2325	1789	1377	1889	1773	2240	2240	1669	1776	1833	722	1426	1565	1557	1473	1305	2197	935	1238	2540	2414	2190	1835	1800	1901	2188	2205	2845	2459	2530	3476	2525	2570	952	475	976	705	1918	1277	1809	1477	168	423	1112	1402	2504	1962	
1800	2300	2000	2100	1650	1250	1800	1650	1900	2050	1450	1700	1750	650	1250	1350	1450	1350	1200	1900	850	1200	2350	2150	1950	1700	1700	1800	1950	1700	2600	2200	2550	3000	2300	2400	800	400	900	700	1850	1400	1850	1500	200	400	900	1300	2150	1750	
0	0	0	277	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	925	0	0	0	0	0	0	0	3	0	0	579	613	378	590	0	0	0	0	46	50	813	358	543	0	24	0	279	0	212	0	
1161	1803	1504	1368	1197	861	1204	1231	1241	1434	1091	1220	1259	487	956	1009	1056	1028	866	798	622	861	1869	1604	1482	1154	1250	1250	1475	1331	1569	1302	1851	1939	1679	1554	691	314	541	419	715	694	962	1010	105	263	551	938	1624	1266	
11	19	22	9	8	14	15	13	2	16	7	22	12	7	5	12	12	11	6	9	8	6	31	12	9	8	9	4	15	11	17	2	3	11	16	16	7	1	78	21	7	25	34	24	5	9	2	13	1	4	
628	478	474	446	445	375	581	406	557	600	352	458	479	156	289	329	382	311	328	168	220	333	450	534	459	538	441	543	460	358	435	283	318	460	605	830	102	85	235	210	315	323	311	466	66	128	68	349	313	480	
11	19	22	286	8	14	15	13	102	16	7	22	12	7	5	12	12	11	6	934	8	6	31	12	9	8	9	4	15	11	593	615	381	601	16	16	7	1	124	71	820	383	577	24	29	9	281	13	213	4	
1161	1802	1504	1368	1197	861	1204	1230	1241	1434	1091	1220	1259	487	956	1009	1056	1028	860	798	622	861	1869	1604	1482	1154	1250	1250	1475	1331	1567	1302	1851	1938	1679	1554	691	314	541	419	715	693	962	1010	105	263	551	938	1624	1264	
27	26	18	18	20	21	28	23	27	20	22	24	27	6	14	4	13	13	14	26	7	19	19	34	14	27	19	30	37	24	25	29	48	36	21	32	9	5	7	9	20	14	11	21	6	0	16	10	44	35	
1145	1795	1508	1636	1185	854	1191	1220	1316	1430	1076	1218	1244	488	947	1017	1055	1026	852	1706	623	848	1881	1582	1477	1135	1240	1224	1453	1318	2135	1888	2184	2503	1674	1538	689	310	658	481	1515	1062	1528	1013	128	272	816	941	1793	1233	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

7	7	6	11	6	5	5	4	4	7	4	1	7	1	4	4	7	5	2	8	3	2	7	5	5	6	7	5	4	5	5	9	12	11	8	7	3	1	2	2	8	7	9	5	2	0	4	4	18	5	
237	345	294	340	225	177	254	227	298	291	230	226	223	53	129	126	111	116	118	306	76	103	399	339	342	291	326	288	146	155	416	441	450	381	241	206	88	38	54	41	329	155	126	154	10	24	78	221	369	343	
66	111	87	114	87	73	78	94	97	118	69	80	64	23	73	70	68	75	68	163	41	57	107	100	86	71	72	69	110	104	154	158	172	201	117	115	65	19	77	45	114	108	117	107	14	36	60	72	142	77	
796	1272	1083	1112	834	567	830	855	891	982	748	879	917	394	728	780	834	815	647	1178	478	663	1305	1101	1018	749	810	835	1168	1021	1498	1221	1484	1819	1269	1170	502	246	517	387	1022	771	1240	724	98	210	636	631	1213	790	
17	24	20	29	12	14	9	13	7	19	9	15	10	4	7	19	12	5	8	26	11	12	28	15	12	8	10	9	5	13	27	24	31	40	13	21	12	1	4	2	15	11	16	5	2	0	16	4	24	8	
5	7	4	9	4	7	8	15	10	3	7	5	10	5	1	8	7	2	1	8	5	2	16	10	5	3	6	5	9	4	14	15	13	18	8	7	6	2	2	2	16	4	9	6	1	2	5	2	13	2	
3	12	4	12	9	4	4	8	2	3	7	2	3	3	1	5	12	3	3	8	5	4	6	6	5	1	5	6	7	9	10	6	10	15	6	4	5	2	1	1	7	4	5	4	0	0	10	5	7	6	
14	17	10	9	8	7	3	4	7	7	2	10	10	5	4	5	4	5	5	9	4	5	13	6	4	6	4	7	4	7	11	14	12	18	12	8	8	1	1	1	4	2	6	8	1	0	7	2	7	2	
