"УИК №251"	"УИК №252"	"УИК №253"	"УИК №254"	"УИК №255"	"УИК №256"	"УИК №257"	"УИК №258"	"УИК №259"	"УИК №260"	"УИК №261"	"УИК №262"	"УИК №263"	"УИК №264"	"УИК №265"	"УИК №752"	"УИК №753"	
1116	2315	1118	1152	1193	1183	1080	2403	2252	1107	1129	2179	1333	1038	272	553	1289	
900	1900	900	950	950	1000	900	2000	1900	900	900	1850	1700	1000	200	600	1580	
0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	
577	1318	669	703	748	642	614	1609	1426	703	719	1334	1027	796	181	548	1237	
16	79	8	15	27	39	18	21	46	14	34	25	3	4	7	2	51	
307	503	223	232	175	319	268	370	428	183	147	479	670	200	12	50	292	
16	79	8	15	27	39	18	21	46	14	34	37	3	4	7	2	51	
577	1318	669	703	748	642	613	1607	1425	702	719	1333	1027	796	181	548	1237	
15	21	5	9	4	9	11	16	13	14	5	23	16	11	2	7	9	
578	1376	672	709	771	672	620	1612	1458	702	748	1347	1014	789	186	543	1279	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

2	8	4	3	3	6	3	8	8	4	1	10	0	2	2	3	1	
44	120	47	46	52	76	48	175	122	60	61	97	115	93	23	42	43	
45	110	63	66	57	55	50	116	87	32	45	118	106	80	9	45	41	
460	1100	531	572	637	511	495	1258	1196	583	616	1067	762	574	145	431	1176	
10	20	8	8	8	9	10	23	20	8	10	23	13	21	2	7	9	
3	5	9	5	1	4	4	7	8	6	11	11	11	10	1	1	0	
5	6	3	4	2	3	2	7	9	4	2	8	6	3	2	8	5	
9	7	7	5	11	8	8	18	8	5	2	13	1	6	2	6	4	
