"УИК №587"	"УИК №588"	"УИК №589"	"УИК №590"	"УИК №591"	"УИК №592"	"УИК №593"	"УИК №594"	"УИК №595"	"УИК №596"	"УИК №597"	"УИК №598"	"УИК №599"	"УИК №600"	"УИК №601"	"УИК №602"	"УИК №603"	"УИК №604"	"УИК №605"	"УИК №606"	"УИК №607"	"УИК №608"	"УИК №609"	"УИК №610"	"УИК №611"	"УИК №612"	"УИК №613"	"УИК №614"	"УИК №615"	"УИК №616"	"УИК №617"	"УИК №618"	"УИК №619"	"УИК №620"	"УИК №621"	"УИК №622"	"УИК №623"	"УИК №624"	"УИК №625"	
1307	1678	1295	794	1146	2433	931	1785	1672	95	2045	1390	1317	175	98	311	64	1188	283	967	90	63	448	85	158	549	1272	126	232	587	152	60	376	743	200	406	222	29	101	
1318	1634	1295	740	1109	2319	951	1764	1652	101	2045	1400	1378	171	100	400	73	1210	284	991	96	67	441	88	161	552	1278	127	209	611	154	63	364	733	213	424	229	29	101	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
870	1006	783	480	709	1325	479	1062	930	83	1071	714	979	149	73	258	64	784	180	773	75	58	395	79	134	490	771	104	180	379	121	49	268	631	151	377	208	28	53	
61	31	48	19	18	69	42	46	62	8	88	75	181	17	10	26	0	214	44	28	7	0	31	3	15	35	119	12	14	96	5	2	19	34	17	29	8	1	48	
387	597	464	241	382	925	430	656	660	10	886	611	218	5	17	116	9	212	60	190	14	9	15	6	12	27	388	11	15	136	28	12	77	68	45	18	13	0	0	
61	31	48	19	18	69	42	46	62	8	88	75	181	17	10	26	0	214	44	28	7	0	31	3	15	35	119	12	14	96	5	2	19	34	17	29	8	1	48	
870	1006	783	480	709	1325	479	1062	930	83	1071	714	979	149	73	258	64	784	180	773	75	58	395	79	134	490	771	104	180	379	121	49	268	631	151	377	208	28	53	
17	21	14	11	11	26	12	16	13	1	18	9	11	1	1	4	0	9	0	12	1	0	3	2	0	0	12	1	1	8	1	0	3	2	1	5	0	0	1	
914	1016	817	488	716	1368	509	1092	979	90	1141	780	1149	165	82	280	64	989	224	789	81	58	423	80	149	525	878	115	193	467	125	51	284	663	167	401	216	29	100	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

5	4	2	1	3	2	1	5	5	0	6	5	2	0	0	0	0	2	1	0	2	0	0	0	0	0	6	0	0	0	0	0	0	2	0	0	1	0	0	
170	170	145	61	130	235	72	223	157	14	183	133	180	16	5	25	1	103	50	88	10	7	47	17	2	17	116	9	13	35	21	3	10	82	12	41	7	7	13	
87	68	63	57	50	120	39	91	98	12	176	79	43	6	4	11	1	55	8	36	3	0	4	4	3	5	76	0	6	10	2	1	8	16	11	5	1	1	2	
627	744	585	361	514	967	389	737	697	59	755	550	897	141	70	243	62	809	160	646	64	51	359	57	144	498	662	106	174	412	98	47	260	538	144	349	206	21	81	
8	16	9	6	11	17	3	12	13	2	9	6	8	1	1	0	0	8	3	7	1	0	9	2	0	2	6	0	0	5	1	0	4	15	0	3	1	0	1	
10	7	8	0	5	9	1	15	5	2	4	2	8	0	2	1	0	9	0	7	0	0	1	0	0	0	6	0	0	0	1	0	0	5	0	0	0	0	1	
2	4	2	1	1	8	4	4	1	1	3	3	4	0	0	0	0	1	0	1	1	0	0	0	0	0	6	0	0	3	0	0	2	0	0	2	0	0	0	
5	3	3	1	2	10	0	5	3	0	5	2	7	1	0	0	0	2	2	4	0	0	3	0	0	3	0	0	0	2	2	0	0	5	0	1	0	0	2	
