"УИК №371"	"УИК №372"	"УИК №373"	"УИК №374"	"УИК №375"	"УИК №376"	"УИК №377"	"УИК №378"	"УИК №379"	"УИК №380"	"УИК №381"	"УИК №382"	"УИК №383"	"УИК №384"	"УИК №437"	
1447	1826	2840	2448	1773	1623	2293	1492	1916	1565	1333	1615	2833	2571	2855	
1431	1807	2726	2350	1718	1573	2253	1446	1896	1548	1297	1598	2750	2496	2811	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1305	1651	1942	2306	948	1075	1890	1215	1792	1370	1203	1471	2559	1207	1796	
2	6	27	10	6	5	18	17	2	4	9	12	6	0	11	
124	150	750	34	764	480	345	214	102	174	85	115	185	1267	1004	
2	6	27	10	6	5	18	17	2	4	9	12	6	0	11	
1305	1645	1942	2306	942	1075	1872	1077	1792	1370	1203	1471	2559	1202	1796	
12	23	57	1	44	63	5	0	10	15	1	9	3	22	0	
1295	1628	1912	2315	904	1017	1885	1094	1784	1359	1211	1474	2562	1180	1807	
0	0	7	0	0	13	0	0	0	0	0	0	0	22	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

1	39	19	41	6	11	16	14	1	4	15	3	54	7	13	
64	211	388	74	199	227	215	213	106	73	63	87	51	218	287	
4	4	13	3	3	8	6	7	2	6	4	0	2	13	21	
1213	1217	1353	2122	637	696	1597	814	1641	1151	1033	1366	2368	853	1350	
10	29	91	6	30	43	31	31	19	98	2	13	2	53	95	
1	20	12	14	5	4	4	1	5	7	12	1	14	8	6	
1	41	12	27	4	3	6	5	0	1	40	0	36	5	16	
1	67	24	28	20	25	10	9	10	19	42	4	35	23	19	
