"УИК №2001"	"УИК №2002"	"УИК №2003"	"УИК №2004"	"УИК №2005"	"УИК №2006"	"УИК №2007"	"УИК №2008"	"УИК №2009"	"УИК №2011"	"УИК №2012"	"УИК №2013"	"УИК №2014"	"УИК №2016"	"УИК №2017"	"УИК №2018"	"УИК №2019"	"УИК №2020"	"УИК №2021"	"УИК №2022"	"УИК №2023"	"УИК №2024"	"УИК №2025"	"УИК №2026"	
553	232	204	248	205	367	151	386	345	222	604	589	283	168	531	275	144	135	571	829	656	532	856	810	
500	220	180	215	170	310	180	350	340	220	530	520	270	140	490	230	140	110	500	750	580	470	770	750	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
269	122	127	125	118	242	93	158	242	161	333	343	184	57	364	162	80	63	346	534	430	342	546	493	
79	32	15	79	52	54	32	105	53	21	118	102	49	53	45	51	21	28	60	56	44	60	35	87	
152	66	38	11	0	14	55	87	45	38	79	75	37	30	81	17	39	19	94	160	106	68	189	170	
79	32	15	79	52	54	32	105	53	21	118	102	49	53	45	51	21	28	60	56	44	60	35	87	
269	122	127	125	118	242	93	158	242	161	333	343	184	57	364	162	80	63	346	534	430	342	546	493	
3	4	0	0	0	1	0	1	0	2	0	4	1	3	3	0	0	0	0	8	10	4	3	7	
345	150	142	204	170	295	125	262	295	180	451	441	232	107	406	213	101	91	406	582	464	398	578	573	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

3	0	1	0	2	2	0	0	2	0	2	0	1	0	4	1	0	0	3	5	3	3	2	5	
22	19	15	10	4	20	12	22	29	9	48	34	26	22	43	10	10	3	45	71	59	52	55	57	
19	6	4	9	8	16	4	18	12	12	19	15	17	7	19	14	5	7	26	36	30	24	32	36	
299	122	120	176	153	254	108	219	248	158	374	391	184	76	331	184	82	81	324	451	357	307	475	471	
0	2	0	8	2	2	0	2	4	1	3	0	1	2	3	1	1	0	3	8	3	3	4	2	
1	0	2	1	1	1	0	0	0	0	0	0	3	0	6	1	3	0	1	5	5	7	4	0	
1	0	0	0	0	0	0	1	0	0	2	1	0	0	0	2	0	0	3	3	2	1	2	2	
0	1	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	1	3	5	1	4	0	
