"УИК №1001"	"УИК №1002"	"УИК №1003"	"УИК №1004"	"УИК №1005"	"УИК №1006"	"УИК №1007"	"УИК №1008"	"УИК №1009"	"УИК №1010"	"УИК №1011"	"УИК №1012"	"УИК №1013"	"УИК №1014"	"УИК №1015"	"УИК №1016"	"УИК №1017"	"УИК №1018"	"УИК №1019"	"УИК №1020"	"УИК №1021"	"УИК №1022"	"УИК №1023"	"УИК №1024"	"УИК №1080"	
1924	844	1111	1775	1909	1709	1710	1601	1719	1680	1753	1828	1805	1859	1716	1655	1865	1839	1821	1070	1596	1127	599	438	88	
1900	800	1100	1800	1900	1700	1700	1600	1700	1700	1700	1800	1850	1800	1750	1650	1900	1850	1800	1050	1600	1100	550	400	100	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
869	422	577	930	1084	947	918	804	934	817	833	1073	794	899	944	879	958	895	894	564	808	589	314	134	32	
90	14	21	35	28	33	30	21	34	32	20	31	40	28	22	16	23	38	35	24	44	48	10	34	53	
941	364	502	835	788	720	752	775	732	851	847	696	1016	873	784	753	919	917	871	462	748	463	226	232	15	
90	14	21	35	28	33	30	21	34	32	20	31	40	28	22	16	23	38	35	24	44	48	10	34	53	
866	422	577	930	1084	947	918	803	934	817	833	1072	794	899	944	879	958	895	894	564	808	589	314	134	32	
20	10	11	17	12	16	10	15	13	16	15	21	23	22	13	23	20	19	16	9	20	9	2	2	1	
936	426	587	948	1100	964	938	809	955	833	838	1082	811	905	953	872	961	914	913	579	832	628	322	166	84	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

11	3	1	12	13	8	13	5	10	7	12	20	8	9	10	10	6	6	15	7	4	3	5	2	0	
170	121	163	260	325	262	266	221	248	235	228	283	235	218	270	244	256	229	227	138	179	138	89	24	12	
98	49	61	73	95	81	61	65	54	70	59	83	60	84	74	98	108	82	94	29	63	51	26	14	13	
625	247	343	568	625	576	570	482	614	485	500	646	484	559	553	494	567	568	556	394	562	421	190	121	56	
7	5	9	16	16	13	7	9	12	17	16	20	8	14	20	9	12	7	6	4	6	6	4	3	0	
12	0	1	9	11	10	8	10	8	9	6	13	6	10	12	3	7	4	4	4	13	3	5	0	0	
4	1	7	3	7	7	6	9	2	5	7	6	5	4	7	5	4	6	8	2	4	5	1	1	1	
9	0	2	7	8	7	7	8	7	5	10	11	5	7	7	9	1	12	3	1	1	1	2	1	2	
