"УИК №306"	"УИК №307"	"УИК №308"	"УИК №309"	"УИК №310"	"УИК №311"	"УИК №312"	"УИК №313"	"УИК №314"	"УИК №315"	"УИК №316"	"УИК №317"	"УИК №318"	"УИК №319"	"УИК №320"	"УИК №321"	"УИК №322"	"УИК №323"	"УИК №324"	"УИК №325"	"УИК №326"	"УИК №327"	"УИК №328"	"УИК №329"	"УИК №330"	"УИК №331"	"УИК №332"	"УИК №333"	"УИК №334"	"УИК №335"	"УИК №336"	"УИК №337"	
546	345	692	131	287	90	312	427	969	263	200	713	170	417	455	684	346	147	100	938	1247	1171	605	1598	1420	1434	1544	1636	2170	1602	1603	1836	
540	350	700	120	280	90	300	450	1020	290	220	740	160	430	480	710	360	140	100	1020	1330	1230	660	1600	1370	1460	1550	1570	2140	1630	1600	1870	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
416	239	488	71	160	53	171	275	677	154	125	352	94	205	272	345	189	84	35	474	590	684	370	848	762	878	993	1036	1507	1032	930	1120	
88	34	34	26	46	19	54	42	75	38	4	77	13	20	35	32	29	23	18	54	73	86	52	31	30	40	39	82	37	13	49	16	
36	77	178	23	74	18	75	133	268	98	91	311	53	205	173	333	142	33	47	492	667	460	238	721	578	542	518	452	596	585	621	734	
88	34	34	26	46	19	54	42	75	38	4	77	13	20	35	32	29	23	18	54	73	86	52	31	30	40	39	82	37	13	49	16	
416	239	488	71	160	53	171	275	677	154	125	352	94	205	272	345	189	84	35	474	590	684	370	848	762	878	993	1036	1507	1032	930	1120	
2	2	8	1	3	0	5	2	11	3	1	2	4	2	6	4	4	0	1	5	5	7	9	20	10	11	13	4	11	13	15	14	
502	271	514	96	203	72	220	315	741	189	128	427	103	223	301	373	214	107	52	523	658	763	413	859	782	907	1019	1114	1533	1032	964	1122	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

3	1	0	0	2	0	0	0	5	0	0	0	0	0	1	8	2	1	0	1	4	2	5	5	3	6	7	7	20	13	12	6	
35	16	51	20	13	5	19	24	61	10	14	40	9	42	38	54	26	11	3	77	95	101	41	143	127	166	172	206	283	202	175	223	
33	14	38	13	14	4	6	23	36	9	3	15	3	13	17	21	12	7	4	38	51	52	33	75	68	65	72	91	86	70	69	76	
423	237	418	61	171	62	193	261	632	166	106	367	87	165	239	285	172	85	43	392	494	592	327	609	551	643	739	778	1086	714	678	782	
3	1	5	0	1	1	0	3	5	2	2	2	0	2	1	4	0	1	0	9	10	5	6	12	13	14	12	16	16	12	11	20	
1	2	2	1	2	0	1	1	1	1	2	1	1	1	3	1	1	0	2	3	2	6	1	10	12	4	7	8	18	12	7	8	
4	0	0	1	0	0	1	1	1	1	0	1	1	0	0	0	1	2	0	3	2	4	0	2	4	7	5	4	13	4	5	2	
0	0	0	0	0	0	0	2	0	0	1	1	2	0	2	0	0	0	0	0	0	1	0	3	4	2	5	4	11	5	7	5	
