"УИК №93"	"УИК №94"	"УИК №95"	"УИК №96"	"УИК №97"	"УИК №98"	"УИК №99"	"УИК №100"	"УИК №101"	"УИК №102"	"УИК №103"	"УИК №104"	"УИК №105"	"УИК №106"	"УИК №107"	"УИК №108"	"УИК №109"	"УИК №110"	"УИК №111"	"УИК №112"	"УИК №113"	"УИК №114"	"УИК №115"	"УИК №116"	"УИК №117"	"УИК №118"	"УИК №119"	"УИК №120"	"УИК №121"	"УИК №122"	"УИК №123"	"УИК №124"	"УИК №125"	"УИК №126"	"УИК №127"	"УИК №128"	"УИК №129"	"УИК №130"	"УИК №131"	"УИК №132"	"УИК №133"	"УИК №134"	"УИК №135"	
1383	1432	1167	1321	1139	1741	1612	1260	2313	2173	1916	1549	1687	2706	1322	1849	852	2232	2268	1111	847	1179	1193	2170	2551	2367	1134	837	2304	2525	1127	1494	2139	990	1948	2883	2724	2336	2480	2469	2172	2714	2175	
1200	1300	1100	1150	1000	1500	1300	1000	2000	1900	1700	1300	1500	2400	1100	1600	800	2000	2000	1000	800	1000	1100	1900	2300	2200	1000	750	2000	2300	950	1300	1800	850	1700	2500	2500	2100	2100	2200	1900	2500	2000	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
806	882	685	782	660	1109	751	607	1353	1338	1188	967	1051	1574	844	1124	486	1265	1336	638	485	703	711	1331	1560	1485	660	416	1347	1390	676	815	1448	537	1185	1685	1706	1419	1609	1380	1157	1347	1052	
15	17	20	14	10	31	163	148	45	39	64	26	21	51	22	87	21	28	43	12	15	21	33	46	34	65	22	17	166	50	22	26	20	22	22	45	22	36	30	46	29	71	27	
379	401	395	354	330	360	386	245	602	523	448	307	428	775	234	389	293	707	621	350	300	276	356	523	706	650	318	317	487	860	252	459	332	291	493	770	772	645	461	774	714	1082	921	
15	17	20	14	10	31	163	148	45	39	64	26	21	51	22	87	21	28	43	12	15	21	33	46	34	65	22	17	166	50	22	26	20	22	22	45	22	36	30	46	29	71	27	
806	880	685	782	660	1109	751	607	1353	1338	1188	967	1051	1574	844	1124	486	1265	1336	638	485	703	711	1331	1560	1485	659	416	1347	1389	676	815	1448	537	1185	1685	1706	1419	1609	1380	1157	1347	1052	
12	14	7	4	5	11	15	9	14	18	9	10	15	29	14	17	5	12	10	4	3	11	7	19	16	21	12	0	30	11	10	9	21	1	11	17	21	21	16	12	10	20	8	
809	883	698	792	665	1129	899	746	1384	1359	1243	983	1057	1596	852	1194	502	1281	1369	646	497	713	737	1358	1578	1529	669	433	1483	1428	688	832	1447	558	1196	1713	1707	1434	1623	1414	1176	1398	1071	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

15	9	7	7	8	11	8	9	19	15	7	4	11	10	8	7	2	9	12	5	6	11	13	16	16	16	8	3	11	12	5	5	7	3	10	22	20	12	12	10	20	10	10	
119	128	84	110	71	152	121	96	208	164	213	115	150	188	131	142	51	137	178	71	76	86	106	175	215	219	82	47	172	152	77	95	125	72	144	293	220	217	203	181	144	159	127	
43	64	47	54	27	56	76	46	88	81	75	55	64	104	48	80	26	98	105	45	29	42	53	64	69	101	39	22	100	95	41	76	150	43	91	111	86	92	81	104	76	113	75	
587	642	527	585	536	848	641	552	997	1031	889	760	777	1217	619	896	401	977	1006	480	368	527	516	1036	1167	1101	503	341	1132	1097	546	612	1092	423	896	1195	1290	1056	1245	1061	885	1068	814	
19	12	9	12	10	19	19	13	19	20	18	19	14	28	17	36	4	24	24	14	8	10	16	26	34	28	12	6	26	29	12	14	31	8	17	30	33	15	31	15	16	12	13	
10	12	9	7	4	10	8	9	14	13	8	3	15	16	8	11	3	11	15	11	4	13	10	13	16	20	10	5	11	16	5	13	21	6	14	19	25	7	13	16	15	14	11	
7	6	6	8	5	5	11	10	12	16	12	10	10	12	10	10	6	8	13	11	2	13	11	9	25	15	7	4	10	12	2	12	9	0	9	25	12	12	14	9	12	10	9	
9	10	9	9	4	28	15	11	27	19	21	17	16	21	11	12	9	17	16	9	4	11	12	19	36	29	8	5	21	15	0	5	12	3	15	18	21	23	24	18	8	12	12	
