"УИК №64"	"УИК №65"	"УИК №66"	"УИК №67"	"УИК №68"	"УИК №69"	"УИК №70"	"УИК №71"	"УИК №72"	"УИК №73"	"УИК №74"	"УИК №75"	"УИК №76"	"УИК №77"	"УИК №78"	"УИК №79"	"УИК №80"	"УИК №81"	"УИК №82"	"УИК №83"	"УИК №84"	"УИК №85"	"УИК №86"	"УИК №87"	"УИК №88"	"УИК №350"	
568	570	1012	560	992	601	575	1115	406	544	741	117	458	310	694	307	975	828	314	122	247	96	120	212	191	143	
570	570	1000	560	1000	600	570	1100	400	540	750	115	460	300	700	300	950	840	320	120	250	95	120	200	190	145	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
467	475	789	451	864	548	483	836	335	448	706	101	373	248	620	268	720	623	259	112	225	84	104	180	157	143	
22	19	146	36	30	37	22	95	10	29	29	5	9	22	49	29	110	110	11	0	10	0	0	2	0	0	
81	76	65	73	106	15	65	169	55	63	15	9	78	30	31	3	120	107	50	8	15	11	16	18	33	2	
22	19	146	36	30	37	22	95	10	29	29	5	9	22	49	29	110	110	11	0	10	0	0	2	0	0	
467	475	789	451	864	548	483	836	335	448	706	101	373	248	620	268	720	623	259	112	225	84	104	180	157	143	
0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
489	494	933	487	894	585	505	931	345	477	735	106	382	270	669	297	830	733	270	112	235	84	104	182	157	143	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

1	0	1	0	0	1	2	4	2	1	1	1	1	0	0	0	0	2	0	0	0	0	0	0	1	0	
86	50	92	45	90	63	55	105	59	57	121	11	25	37	115	27	85	69	110	5	37	4	4	4	6	3	
3	7	60	4	5	3	1	20	4	4	10	2	13	2	0	1	43	35	9	2	7	1	0	4	2	0	
392	428	727	432	795	512	419	794	276	410	600	89	327	228	535	268	668	585	150	99	189	79	100	174	140	140	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
5	9	42	6	4	5	27	8	3	5	2	1	8	3	10	1	20	24	1	3	2	0	0	0	3	0	
1	0	10	0	0	0	1	0	1	0	1	1	8	0	9	0	13	16	0	3	0	0	0	0	5	0	
1	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	1	2	0	0	0	0	0	0	0	0	
