"УИК №1182"	"УИК №1183"	"УИК №1184"	"УИК №1185"	"УИК №1186"	"УИК №1187"	"УИК №1188"	"УИК №1189"	"УИК №1190"	"УИК №1191"	"УИК №1192"	"УИК №1194"	"УИК №1195"	"УИК №1196"	"УИК №1197"	"УИК №1198"	"УИК №1199"	"УИК №1200"	"УИК №1201"	"УИК №1202"	"УИК №1203"	"УИК №1204"	"УИК №1205"	"УИК №1206"	"УИК №1207"	"УИК №1208"	"УИК №1209"	"УИК №1210"	"УИК №1211"	"УИК №1212"	"УИК №1213"	"УИК №1214"	"УИК №1215"	"УИК №1216"	"УИК №1217"	"УИК №1218"	"УИК №1219"	"УИК №1220"	"УИК №1221"	"УИК №1222"	"УИК №1223"	"УИК №1224"	"УИК №1225"	"УИК №1226"	"УИК №1227"	"УИК №1228"	"УИК №1229"	"УИК №1230"	"УИК №1231"	"УИК №1232"	"УИК №1233"	"УИК №1234"	"УИК №1235"	"УИК №1236"	"УИК №1237"	"УИК №1238"	"УИК №1239"	"УИК №1240"	"УИК №1241"	"УИК №1242"	"УИК №1243"	"УИК №1244"	
1930	813	1235	1582	1088	1329	1111	1141	1886	2334	2420	1955	1779	1968	2178	2248	1950	1008	2041	2058	2327	1782	1851	2233	989	2138	884	911	2004	875	964	1921	1756	1021	1056	932	549	241	2235	477	295	455	200	220	400	220	277	337	470	632	499	657	177	1678	584	903	448	498	315	260	109	65	
1700	700	1100	1400	950	1180	950	1140	1650	2050	2100	1700	1600	1750	1910	1970	1700	970	1750	1820	2000	1575	1605	1950	820	1900	880	800	1760	760	850	1670	1550	900	1050	920	540	236	2000	473	292	450	204	220	395	221	278	335	463	633	493	650	176	1650	570	900	440	485	312	260	110	65	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1084	671	1048	1329	843	772	924	699	1526	1951	1951	1633	1272	1313	1807	1869	1621	549	1692	1087	1939	1520	908	1172	780	1783	736	723	1583	573	744	1462	961	656	617	728	534	218	1852	440	268	415	142	195	352	204	240	299	427	553	416	590	155	1254	538	817	418	463	289	202	103	63	
38	20	37	45	100	168	19	17	37	33	59	30	23	192	44	52	36	27	42	39	47	44	58	23	13	27	60	12	26	72	45	55	42	105	103	63	6	18	50	18	11	31	18	11	29	10	26	30	29	62	53	54	15	99	0	57	12	10	12	6	0	0	
578	9	15	26	7	240	7	424	87	66	90	37	305	245	59	49	43	394	16	694	14	11	639	755	27	90	84	65	151	115	61	153	547	139	330	129	0	0	98	15	13	4	44	14	14	7	12	6	7	18	24	6	6	297	32	26	10	12	11	52	7	2	
38	20	37	45	100	168	19	17	37	33	59	30	23	192	44	52	36	27	42	39	47	44	58	23	13	27	60	12	26	72	45	55	42	105	103	63	6	18	50	18	11	31	18	11	29	10	26	30	29	62	53	54	15	99	0	57	12	10	12	6	0	0	
1084	671	1048	1329	843	772	924	682	1524	1951	1950	1632	1272	1313	1807	1867	1621	549	1692	1087	1939	1520	908	1172	780	1783	736	723	1583	573	744	1462	961	656	617	728	534	218	1852	440	268	415	142	195	352	204	240	299	427	553	416	590	155	1254	538	817	418	463	289	202	103	63	
5	0	0	0	0	14	4	16	2	0	4	1	6	14	0	9	6	10	0	13	9	5	18	8	3	0	3	0	0	0	0	0	1	0	3	0	0	0	4	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	3	8	3	0	1	0	4	0	
1117	691	1085	1374	943	926	939	683	1559	1984	2005	1661	1289	1491	1851	1910	1651	566	1734	1113	1977	1559	948	1187	790	1810	793	735	1609	645	789	1517	1002	761	717	791	540	236	1898	458	279	446	160	206	381	214	266	329	456	612	469	644	170	1353	535	866	427	473	300	208	99	63	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

1	1	4	5	7	4	22	5	2	8	20	34	3	8	5	8	4	3	18	11	3	18	0	6	3	1	0	2	49	4	0	4	0	1	4	7	1	2	3	4	0	3	0	0	2	1	2	2	2	1	1	0	0	19	2	3	3	5	0	2	1	0	
123	96	152	160	16	122	122	96	193	174	241	136	152	217	267	205	282	93	209	185	153	205	152	234	132	225	78	29	215	52	162	223	98	198	105	140	48	10	33	44	30	24	14	27	49	11	18	16	59	64	19	100	17	189	34	71	36	30	11	23	11	3	
52	66	21	20	22	56	84	62	122	111	179	122	81	75	62	77	179	42	107	57	44	141	82	79	50	8	28	19	114	21	0	92	0	5	66	42	33	6	10	11	8	12	9	10	17	5	5	10	14	14	8	10	8	83	35	50	22	24	0	10	8	3	
933	524	891	1167	889	719	670	498	1138	1644	1447	1223	1011	1137	1451	1584	1167	410	1224	805	1740	1125	684	836	592	1562	673	674	1117	560	627	1169	902	540	514	594	451	210	1820	388	236	399	134	165	308	192	237	298	372	524	440	531	141	1030	460	716	342	393	289	167	73	56	
2	4	3	11	1	8	1	7	52	18	41	21	18	21	43	11	11	8	42	21	7	25	14	7	6	6	2	6	25	0	0	6	0	3	9	3	3	1	11	2	1	2	1	2	1	4	1	2	4	3	0	3	1	7	0	9	5	3	0	1	1	1	
2	0	2	3	2	7	10	8	9	17	40	49	9	11	15	12	2	6	66	20	12	9	8	15	2	1	7	3	27	0	0	12	2	5	4	3	2	1	8	5	2	1	2	0	4	0	2	1	2	2	1	0	0	11	3	9	11	10	0	2	3	0	
2	0	3	1	2	6	1	2	12	8	7	40	9	14	4	6	1	3	18	7	10	14	4	3	3	0	4	2	29	0	0	2	0	3	10	2	0	2	9	2	1	3	0	1	0	1	1	0	2	1	0	0	1	6	1	6	5	8	0	1	0	0	
2	0	9	7	4	4	29	5	31	4	30	36	6	8	4	7	5	1	50	7	8	22	4	7	2	7	1	0	33	8	0	9	0	6	5	0	2	4	4	2	1	2	0	1	0	0	0	0	1	3	0	0	2	8	0	2	3	0	0	2	2	0	
