"УИК №785"	"УИК №786"	"УИК №787"	"УИК №788"	"УИК №789"	"УИК №790"	"УИК №791"	"УИК №792"	"УИК №793"	"УИК №794"	"УИК №795"	"УИК №796"	"УИК №797"	"УИК №798"	"УИК №799"	"УИК №800"	"УИК №801"	"УИК №802"	"УИК №803"	"УИК №804"	"УИК №805"	"УИК №806"	"УИК №807"	"УИК №808"	"УИК №809"	"УИК №810"	"УИК №811"	"УИК №812"	"УИК №813"	"УИК №814"	"УИК №815"	"УИК №816"	"УИК №817"	"УИК №818"	"УИК №819"	"УИК №820"	"УИК №821"	"УИК №822"	"УИК №823"	"УИК №824"	"УИК №826"	"УИК №827"	"УИК №828"	"УИК №829"	"УИК №830"	"УИК №831"	"УИК №832"	"УИК №833"	"УИК №834"	"УИК №835"	"УИК №836"	"УИК №837"	"УИК №838"	"УИК №839"	"УИК №840"	"УИК №841"	"УИК №842"	"УИК №843"	"УИК №844"	"УИК №845"	"УИК №846"	"УИК №847"	"УИК №848"	"УИК №849"	"УИК №850"	"УИК №851"	"УИК №852"	"УИК №1050"	"УИК №1065"	"УИК №1133"	"УИК №1184"	"УИК №1185"	
2138	2040	2666	841	559	1549	1079	266	1676	441	173	2483	3139	442	1980	531	2681	1671	190	2268	2022	2296	1973	2141	2127	2261	2046	2141	2318	1630	1043	327	498	255	1059	2053	1741	1535	2421	1321	2109	873	2686	1343	2291	2006	675	1122	373	2642	607	2968	2397	787	659	325	2929	1300	1845	301	325	1040	1734	1125	718	227	426	2089	2246	1154	2152	2889	
2050	2000	2550	800	500	1500	1050	250	1500	400	150	2300	2950	400	2000	500	2500	1450	150	2100	1850	2100	1850	2000	1800	2050	1950	2000	2100	1500	950	300	450	230	920	1900	1600	1450	2250	1200	1950	800	2400	1250	2150	1850	600	1000	350	2350	500	2800	2100	700	600	300	2800	1200	1700	250	250	1000	1600	1100	650	200	400	2000	2050	1000	2050	2650	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1021	1260	1351	379	329	793	632	137	985	244	102	1404	1649	335	1204	231	1435	940	106	1408	1306	1465	1199	1362	1276	1257	1186	1190	1205	928	646	178	291	122	780	1310	1071	900	1339	871	1263	501	1356	798	1234	1084	423	637	217	1378	303	1597	1393	422	312	193	1468	648	910	189	209	553	801	771	399	117	208	1330	1241	684	1500	1850	
44	38	60	77	7	86	43	19	87	28	6	73	75	17	53	9	22	38	5	23	29	18	21	20	95	28	33	25	69	31	31	5	21	41	3	17	19	18	33	8	26	12	134	24	38	42	11	29	24	83	29	51	56	42	8	8	66	35	30	12	6	17	64	0	46	16	31	35	30	10	14	17	
985	702	1139	344	164	621	375	94	428	128	42	823	1226	48	743	260	1043	472	39	669	515	617	630	618	429	765	731	785	826	541	273	117	138	67	137	573	510	532	878	321	661	287	910	427	878	724	166	334	109	889	168	1152	651	236	280	99	1266	517	760	49	35	430	735	329	205	67	161	635	779	306	536	783	
44	38	60	77	7	86	43	19	87	28	6	73	75	17	53	9	22	38	5	23	29	18	21	20	95	28	33	25	69	31	31	5	21	41	3	17	19	18	33	8	26	12	134	24	38	42	11	29	24	83	29	51	56	42	8	8	66	35	30	12	6	17	64	0	46	16	31	35	30	10	14	17	
1021	1259	1351	379	329	793	632	137	985	244	102	1404	1649	335	1204	231	1435	940	106	1408	1306	1464	1199	1358	1274	1256	1185	1190	1201	928	646	178	291	122	780	1309	1071	900	1339	871	1263	501	1356	798	1234	1084	423	637	217	1378	303	1597	1393	422	312	193	1468	648	910	189	208	553	801	771	399	117	208	1328	1241	684	1493	1848	
27	24	26	9	6	13	13	3	12	1	1	19	21	0	12	5	11	13	3	16	15	18	16	9	15	32	23	25	16	9	17	0	3	3	11	20	14	7	16	8	17	0	29	12	36	18	3	10	5	12	1	22	17	11	4	2	24	4	13	5	5	10	10	10	3	0	3	11	35	8	19	21	
1038	1273	1385	447	330	866	662	153	1060	271	107	1458	1703	352	1245	235	1446	965	108	1415	1320	1464	1204	1369	1354	1252	1195	1190	1254	950	660	183	309	160	772	1306	1076	911	1356	871	1272	513	1461	810	1236	1108	431	656	236	1449	331	1626	1432	453	316	199	1510	679	927	196	209	560	855	761	442	133	236	1352	1236	686	1488	1844	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

7	7	5	5	3	3	4	1	1	2	0	4	14	0	5	1	12	7	0	18	13	13	5	8	15	5	8	7	9	4	2	0	2	1	4	9	5	1	9	4	9	0	12	0	2	11	1	5	2	6	1	16	9	1	2	2	12	4	2	2	1	2	8	4	5	2	0	8	4	8	6	9	
200	240	171	92	61	98	85	22	178	34	15	275	328	74	219	28	301	172	15	307	295	301	276	324	277	194	153	193	195	139	97	40	50	6	135	224	199	148	286	206	221	100	232	144	190	205	56	92	34	294	55	305	229	63	48	37	223	110	128	17	31	75	94	74	55	11	23	326	178	133	341	352	
70	100	109	17	25	71	66	18	69	18	5	96	129	24	68	15	88	56	9	61	63	58	48	57	46	77	81	80	79	64	38	19	42	16	28	90	63	63	69	40	75	13	90	47	95	63	42	61	21	109	24	102	88	38	18	12	118	48	63	23	17	49	65	56	41	11	11	55	67	31	72	80	
731	886	1066	299	230	678	490	108	789	206	86	1039	1187	251	927	183	997	687	84	926	869	1006	812	885	936	946	923	870	938	716	502	119	208	132	552	939	777	676	945	579	943	375	1061	575	909	786	322	482	170	1002	244	1149	1072	337	237	147	1133	499	714	149	150	431	675	603	327	106	199	883	940	486	980	1292	
5	15	9	17	1	4	3	0	12	5	1	12	19	1	12	3	23	25	0	38	28	45	22	39	29	11	11	14	13	17	10	3	2	2	26	20	12	10	15	18	11	17	34	16	17	20	1	8	4	15	2	20	16	5	3	0	9	7	8	1	4	1	6	11	3	1	1	24	15	13	37	46	
