"УИК №2501"	"УИК №2502"	"УИК №2503"	"УИК №2504"	"УИК №2505"	"УИК №2506"	"УИК №2507"	"УИК №2508"	"УИК №2509"	"УИК №2510"	"УИК №2511"	"УИК №2512"	"УИК №2513"	"УИК №2514"	"УИК №2515"	"УИК №2516"	"УИК №2517"	"УИК №2518"	"УИК №2519"	"УИК №2520"	"УИК №2521"	
150	133	1023	1083	230	258	359	624	332	223	203	308	2643	245	409	343	193	848	246	194	1165	
140	140	1000	952	250	270	340	750	290	190	170	280	2530	200	400	335	190	1000	255	175	970	
0	0	74	2	29	16	15	163	0	0	0	0	939	0	83	14	40	302	19	0	0	
119	98	738	715	150	195	271	348	263	182	161	257	1210	188	261	286	115	359	156	161	763	
7	5	41	22	8	10	18	18	14	4	8	9	91	5	7	0	5	70	10	5	34	
14	37	147	213	63	49	36	221	13	4	1	14	290	7	49	35	30	269	70	9	173	
7	5	115	24	37	26	33	181	14	4	8	9	1030	5	90	14	45	372	29	5	34	
119	98	738	715	150	195	271	348	263	182	161	257	1210	188	261	286	115	359	156	161	763	
0	1	7	16	0	1	0	6	1	2	2	3	56	1	0	3	0	55	2	0	15	
126	102	846	723	187	220	304	523	276	184	167	263	2184	192	351	297	160	676	183	166	782	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

1	1	6	9	0	4	2	3	2	0	2	0	13	1	3	1	0	6	1	3	5	
7	6	121	130	14	12	26	52	32	13	18	19	246	27	16	28	5	101	25	7	110	
10	11	73	87	30	17	43	51	29	14	11	19	181	39	22	37	10	34	37	22	112	
107	81	624	479	143	180	227	393	204	152	136	220	1680	119	302	218	143	519	113	132	527	
0	2	5	6	0	2	2	6	3	3	0	5	28	4	3	5	2	7	2	1	8	
0	0	8	3	0	1	0	7	3	1	0	0	18	1	2	3	0	5	1	0	14	
1	1	2	6	0	1	1	8	3	0	0	0	10	1	0	2	0	1	2	0	5	
0	0	7	3	0	3	3	3	0	1	0	0	8	0	3	3	0	3	2	1	1	
