"УИК №830"	"УИК №831"	"УИК №832"	"УИК №833"	"УИК №834"	"УИК №835"	"УИК №836"	"УИК №837"	"УИК №838"	"УИК №839"	"УИК №840"	"УИК №841"	"УИК №842"	"УИК №843"	"УИК №844"	"УИК №845"	"УИК №846"	"УИК №847"	
1128	1081	1081	991	1064	447	891	238	354	221	181	175	340	202	77	799	594	386	
1140	1110	1090	1030	1090	461	910	239	354	238	206	169	366	217	80	825	588	382	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
555	631	579	517	552	257	483	129	207	146	88	99	182	90	51	422	331	243	
74	31	63	52	62	41	47	24	35	15	20	30	35	36	5	78	50	23	
511	448	448	461	476	163	380	86	112	77	98	40	149	91	24	325	207	116	
74	31	63	52	62	41	47	24	35	15	20	30	35	36	5	78	50	23	
555	631	579	517	552	257	483	129	207	146	88	99	182	90	51	422	331	243	
6	8	8	3	9	0	8	1	3	2	0	0	3	0	0	6	7	4	
623	654	634	566	605	298	522	152	239	159	108	129	214	126	56	494	374	262	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

7	1	4	4	1	1	7	1	0	0	1	2	2	0	0	1	3	0	
115	127	112	117	94	44	92	6	13	8	10	6	29	8	0	43	28	16	
47	41	46	41	55	14	37	18	30	14	9	7	15	14	4	46	43	23	
438	468	451	390	446	235	370	122	194	134	81	111	165	103	51	389	287	217	
7	8	6	7	5	3	6	1	0	2	1	2	2	0	1	4	5	5	
4	6	6	2	1	1	2	1	1	0	3	1	1	1	0	9	3	0	
1	2	4	3	0	0	5	3	1	0	1	0	0	0	0	1	4	1	
4	1	5	2	3	0	3	0	0	1	2	0	0	0	0	1	1	0	
