"УИК №44"	"УИК №45"	"УИК №46"	"УИК №47"	"УИК №48"	"УИК №49"	"УИК №50"	"УИК №51"	"УИК №52"	"УИК №53"	"УИК №54"	"УИК №55"	"УИК №56"	"УИК №57"	"УИК №58"	"УИК №59"	"УИК №60"	
1391	1307	1559	250	444	189	645	640	554	289	331	818	392	265	418	270	145	
1600	1500	1600	320	550	300	800	800	600	400	430	900	430	350	560	360	170	
0	0	0	0	0	0	0	0	0	0	0	0	9	5	0	0	0	
817	945	1157	216	386	187	521	562	437	256	308	609	275	249	389	255	143	
91	59	72	7	33	2	28	48	33	17	23	47	27	11	11	7	0	
692	496	371	97	131	111	251	190	130	127	99	244	119	85	160	98	27	
91	59	72	7	33	2	28	48	33	17	23	47	36	16	11	7	0	
817	945	1157	216	386	187	521	562	437	256	308	609	275	249	388	255	143	
6	7	10	0	1	1	4	6	1	1	4	5	1	3	4	0	2	
902	997	1219	223	418	188	545	604	469	272	327	651	310	262	395	262	141	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

2	2	0	0	2	0	5	2	3	1	2	4	0	3	0	0	0	
335	411	474	68	167	58	258	306	141	65	77	195	75	103	99	78	27	
9	10	15	1	5	1	6	6	5	5	14	8	2	2	2	1	2	
535	555	708	149	233	125	274	285	308	198	229	436	228	151	286	178	109	
12	13	10	3	8	4	2	4	9	2	2	4	5	0	4	4	3	
0	3	3	1	2	0	0	0	0	0	1	1	0	0	0	1	0	
6	1	2	1	0	0	0	1	1	1	1	2	0	0	2	0	0	
3	2	7	0	1	0	0	0	2	0	1	1	0	3	2	0	0	
