"УИК №439"	"УИК №440"	"УИК №441"	"УИК №442"	"УИК №443"	"УИК №444"	"УИК №445"	"УИК №446"	"УИК №447"	"УИК №448"	"УИК №449"	"УИК №450"	"УИК №451"	"УИК №452"	"УИК №453"	"УИК №454"	"УИК №455"	"УИК №456"	"УИК №457"	"УИК №458"	"УИК №459"	"УИК №460"	"УИК №461"	"УИК №462"	"УИК №463"	"УИК №464"	
2464	2385	2466	2457	1206	699	356	678	518	550	267	343	196	522	1183	1374	103	166	468	479	522	140	612	328	232	957	
2400	2400	2400	2400	1200	700	350	700	500	550	270	300	180	500	1100	1400	100	160	450	500	530	140	600	300	230	900	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1207	1445	1425	1301	734	345	233	518	416	385	180	248	159	283	740	1013	93	115	384	400	440	115	480	248	201	721	
169	90	110	231	133	203	71	93	80	40	59	47	21	59	176	201	6	26	60	61	62	19	100	49	20	122	
1024	865	865	868	333	152	46	89	4	125	31	5	0	158	184	186	1	19	6	39	28	6	20	3	9	57	
169	90	110	231	133	203	71	93	80	40	59	47	21	59	176	201	6	26	60	61	62	19	100	49	20	122	
1207	1445	1425	1301	734	345	233	518	416	385	180	248	159	283	740	1013	93	115	384	400	440	115	480	248	201	721	
6	13	22	7	5	5	8	0	1	2	5	0	1	4	7	5	0	1	6	2	1	0	0	3	0	5	
1370	1522	1513	1525	862	543	296	611	495	423	234	295	179	338	909	1209	99	140	438	459	501	134	580	294	221	838	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

10	4	7	2	4	5	3	2	0	2	0	1	0	1	5	9	0	2	2	6	0	0	3	2	0	3	
144	177	192	85	51	58	21	37	27	27	17	17	24	25	74	103	2	13	25	35	30	5	54	11	6	54	
52	58	49	14	69	28	11	7	0	12	18	5	5	39	67	60	2	13	17	31	13	2	18	12	2	20	
1136	1246	1241	1410	731	443	255	562	468	381	197	268	146	265	752	1023	94	112	391	385	454	126	505	266	213	757	
10	15	5	5	1	3	2	1	0	0	1	1	2	1	5	5	0	0	0	0	1	1	0	0	0	2	
7	5	6	6	4	1	2	2	0	1	1	2	2	4	5	8	1	0	2	1	1	0	0	2	0	0	
8	10	6	2	0	2	1	0	0	0	0	0	0	2	0	1	0	0	1	1	0	0	0	1	0	2	
3	7	7	1	2	3	1	0	0	0	0	1	0	1	1	0	0	0	0	0	2	0	0	0	0	0	
