"УИК №68"	"УИК №69"	"УИК №70"	"УИК №71"	"УИК №72"	"УИК №73"	"УИК №74"	"УИК №75"	"УИК №76"	"УИК №77"	"УИК №78"	
2622	2607	1630	485	454	102	2412	2153	675	2376	2420	
2682	2650	1620	577	450	104	2430	2170	899	2400	2445	
0	0	0	0	0	0	0	0	0	0	0	
2481	2494	1390	409	432	95	2176	1936	615	2182	2066	
0	0	84	35	0	5	89	45	0	32	154	
201	156	146	133	18	4	165	189	284	186	225	
0	0	84	35	0	5	89	45	0	32	154	
2480	2492	1388	408	431	94	2173	1933	614	2180	2063	
3	3	1	1	2	1	23	3	1	1	2	
2477	2489	1471	442	429	98	2239	1975	613	2211	2215	
0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	

5	8	4	2	2	1	5	3	3	5	4	
104	93	52	16	15	3	98	76	30	99	83	
23	17	12	3	9	2	27	25	4	21	17	
2325	2353	1390	411	395	88	2089	1857	562	2062	2090	
4	3	3	2	2	1	4	3	3	5	4	
6	3	2	2	1	1	5	2	4	5	7	
5	8	5	3	3	1	7	5	3	7	5	
5	4	3	3	2	1	4	4	4	7	5	
