"УИК №798"	"УИК №799"	"УИК №800"	"УИК №801"	"УИК №802"	"УИК №803"	"УИК №804"	"УИК №805"	"УИК №806"	
2929	2348	2628	2789	2276	2791	2107	2458	1942	
2300	1700	1800	2000	1700	2300	2000	1700	1600	
0	0	0	0	0	0	0	0	0	
1779	1479	1481	1674	1540	1985	1357	1390	1339	
19	14	17	54	78	28	55	52	6	
502	207	302	272	82	287	588	258	255	
19	15	17	54	78	28	55	52	6	
1778	1478	1480	1674	1538	1982	1356	1390	1339	
11	15	38	33	30	37	25	22	12	
1786	1478	1459	1695	1586	1973	1386	1420	1333	
0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	

17	17	15	13	17	16	10	12	4	
186	163	206	218	193	228	210	179	201	
85	78	128	88	107	124	104	102	76	
1359	1112	1027	1247	1134	1488	993	1059	955	
56	53	43	62	56	44	28	26	43	
8	15	3	9	16	9	8	9	3	
29	14	15	23	20	28	12	14	20	
46	26	22	35	43	36	21	19	31	
