"УИК №2401"	"УИК №2402"	"УИК №2403"	"УИК №2404"	"УИК №2405"	"УИК №2406"	"УИК №2407"	"УИК №2408"	"УИК №2409"	"УИК №2410"	"УИК №2411"	"УИК №2412"	"УИК №2413"	"УИК №2414"	"УИК №2415"	"УИК №2416"	"УИК №2417"	"УИК №2418"	"УИК №2419"	"УИК №2420"	"УИК №2421"	"УИК №2422"	"УИК №2423"	"УИК №2424"	"УИК №2425"	"УИК №2426"	"УИК №2427"	
415	324	524	1278	1016	1164	917	697	1360	1318	1118	1048	441	220	682	168	108	688	310	403	406	239	304	332	383	839	674	
400	300	500	1100	1000	1000	900	750	1200	1200	1100	1100	500	235	700	180	105	700	340	450	400	240	325	340	400	850	650	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
261	232	363	763	594	677	606	381	816	852	746	762	314	161	452	119	72	423	170	216	270	158	189	242	288	552	427	
46	29	45	81	111	64	44	123	101	76	79	79	40	35	62	14	22	140	67	81	56	21	71	45	46	80	53	
93	39	92	256	295	259	250	246	283	272	275	259	146	39	186	47	11	137	103	153	74	61	65	53	66	218	170	
46	29	45	81	111	64	44	123	101	76	79	79	40	35	62	14	22	140	67	81	56	21	71	45	46	80	53	
261	232	363	763	594	675	604	381	816	852	746	762	314	161	452	119	72	423	170	216	270	158	189	242	288	552	427	
4	1	10	8	5	13	6	5	9	14	10	15	4	0	5	2	2	4	4	1	0	2	0	1	5	2	6	
303	260	398	836	700	726	642	499	908	914	815	826	350	196	509	131	92	559	233	296	326	177	260	286	329	630	474	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

4	0	1	2	2	7	1	1	2	4	5	2	5	2	1	1	2	4	2	0	0	2	1	4	2	7	1	
83	34	60	195	115	126	118	59	186	144	148	178	34	37	85	19	1	83	24	51	22	14	20	29	35	74	27	
14	11	22	40	43	46	60	43	64	92	47	44	20	4	36	7	4	24	10	23	11	13	20	19	33	35	34	
197	214	304	575	527	530	450	384	643	659	601	591	284	152	376	104	81	439	193	214	287	145	208	228	256	503	409	
3	1	4	7	5	7	4	0	7	8	1	3	3	0	2	0	3	4	1	1	1	0	1	0	0	4	1	
2	0	2	7	2	5	5	4	2	3	5	2	2	0	4	0	1	4	2	0	2	2	3	0	1	3	0	
0	0	4	5	4	4	1	7	4	3	2	2	2	1	3	0	0	0	1	6	1	1	3	4	2	4	2	
0	0	1	5	2	1	3	1	0	1	6	4	0	0	2	0	0	1	0	1	2	0	4	2	0	0	0	
