"УИК №1125"	"УИК №1126"	"УИК №1127"	"УИК №1128"	"УИК №1129"	"УИК №1130"	"УИК №1131"	"УИК №1132"	"УИК №1133"	"УИК №1134"	"УИК №1136"	"УИК №1138"	"УИК №1139"	"УИК №1140"	"УИК №1141"	"УИК №1142"	"УИК №1143"	"УИК №1144"	"УИК №1145"	"УИК №1146"	"УИК №1147"	"УИК №1148"	"УИК №1150"	"УИК №1151"	"УИК №1152"	"УИК №1153"	"УИК №1154"	"УИК №1156"	"УИК №1158"	"УИК №1160"	"УИК №1161"	"УИК №1162"	"УИК №1164"	"УИК №1165"	"УИК №1166"	"УИК №1167"	"УИК №1168"	"УИК №1169"	"УИК №1170"	"УИК №1171"	"УИК №1172"	"УИК №1173"	
706	1259	1280	1833	986	1145	1266	832	150	146	679	383	191	470	82	157	113	278	71	168	348	76	437	83	145	90	502	940	414	327	443	156	147	192	334	240	110	75	127	446	272	71	
659	1150	1192	1734	894	1073	1182	787	155	180	660	382	184	445	80	156	115	263	71	158	340	77	420	91	160	94	491	905	422	321	453	168	147	200	321	220	123	85	140	443	267	68	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
329	725	715	938	517	558	588	433	54	88	321	210	94	262	43	91	76	126	43	86	157	58	273	56	104	60	244	479	175	196	250	81	77	76	150	146	64	53	94	182	156	46	
29	67	78	63	90	29	62	35	39	23	104	31	17	44	14	12	4	27	2	8	53	0	33	8	9	5	46	111	64	34	60	9	10	29	59	18	8	7	16	70	15	4	
301	358	399	733	287	486	532	319	62	69	235	141	73	139	23	53	35	110	26	64	130	19	114	27	47	29	201	315	183	91	143	78	60	95	112	56	51	25	30	191	96	18	
29	67	78	63	90	29	62	35	39	23	104	31	17	44	14	12	4	27	2	8	53	0	33	8	9	5	46	111	64	34	60	9	10	29	59	18	8	7	16	70	15	4	
329	725	715	938	517	558	588	433	54	88	321	210	94	262	43	91	76	126	43	86	157	58	273	56	104	60	244	479	175	196	250	81	77	76	150	146	64	53	94	182	156	46	
10	9	7	7	7	14	13	9	1	0	3	7	2	3	0	0	2	0	1	0	0	0	3	0	0	0	2	4	0	1	3	1	2	0	1	2	0	1	0	3	1	0	
348	783	786	994	600	573	637	459	92	111	422	234	109	303	57	103	78	153	44	94	210	58	303	64	113	65	288	586	239	229	307	89	85	105	208	162	72	59	110	249	170	50	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

4	6	9	14	6	6	8	8	0	1	1	6	3	3	1	0	1	0	0	0	0	0	5	0	0	0	2	1	1	1	3	0	2	1	0	3	3	0	0	1	0	0	
63	159	150	178	138	116	127	74	22	11	41	28	7	39	3	9	13	5	5	12	18	19	28	0	16	3	36	70	20	50	30	18	9	17	67	7	20	17	6	25	36	4	
50	66	68	109	62	71	66	61	12	5	44	23	10	23	8	6	9	9	0	10	16	6	31	11	15	4	19	76	20	15	29	16	2	2	4	10	3	4	10	20	20	9	
225	535	534	673	383	375	425	308	58	94	328	170	87	231	45	83	55	132	39	72	170	31	238	53	80	56	223	423	194	156	241	55	71	82	134	139	44	37	94	198	110	37	
2	9	6	6	4	1	5	1	0	0	5	5	1	2	0	1	0	0	0	0	4	0	0	0	2	1	0	4	0	3	3	0	1	2	1	0	1	1	0	3	0	0	
3	5	10	6	2	2	2	4	0	0	3	1	1	2	0	4	0	7	0	0	1	2	0	0	0	0	5	5	3	2	0	0	0	1	1	2	0	0	0	0	4	0	
1	2	6	3	2	2	3	1	0	0	0	0	0	2	0	0	0	0	0	0	1	0	1	0	0	1	2	6	1	1	1	0	0	0	0	0	1	0	0	2	0	0	
0	1	3	5	3	0	1	2	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	1	1	0	0	0	0	0	0	
