"УИК №801"	"УИК №802"	"УИК №803"	"УИК №804"	"УИК №805"	"УИК №806"	"УИК №807"	"УИК №808"	"УИК №809"	"УИК №810"	"УИК №811"	"УИК №812"	"УИК №813"	
1351	450	1913	713	938	797	441	619	575	305	323	742	785	
1105	355	1613	578	768	670	370	477	488	272	266	680	678	
0	0	0	0	0	0	0	0	0	0	0	0	35	
894	273	1088	450	457	433	166	313	275	102	197	363	362	
24	31	85	52	73	40	72	109	52	44	57	126	63	
187	51	440	76	238	197	132	55	161	126	12	191	218	
24	31	85	52	73	40	72	109	52	44	57	126	98	
894	273	1088	450	457	433	166	313	275	102	197	363	362	
23	7	22	8	6	4	1	6	5	0	2	9	8	
895	297	1151	494	524	469	237	416	322	146	252	480	452	
0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	

5	1	5	2	1	7	2	3	3	1	0	6	3	
101	20	149	42	45	69	24	52	48	22	11	42	32	
107	24	90	37	51	35	22	43	26	14	27	42	48	
646	244	879	397	411	345	184	315	240	106	211	381	354	
20	4	7	8	9	2	2	1	3	0	1	4	5	
6	2	10	3	2	3	1	0	2	2	0	2	7	
4	0	3	2	5	3	1	0	0	1	2	1	2	
6	2	8	3	0	5	1	2	0	0	0	2	1	
