"УИК №1401"	"УИК №1402"	"УИК №1403"	"УИК №1404"	"УИК №1405"	"УИК №1406"	"УИК №1407"	"УИК №1408"	"УИК №1409"	"УИК №1410"	"УИК №1411"	"УИК №1412"	"УИК №1413"	"УИК №1414"	"УИК №1415"	
1200	1317	789	756	1113	637	592	594	205	168	321	898	958	381	136	
900	1000	600	600	800	500	500	500	200	150	290	750	770	300	140	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
585	773	363	437	551	377	257	300	128	91	161	353	424	210	82	
100	36	45	29	71	55	72	50	30	18	66	128	99	65	17	
215	191	192	134	178	68	171	150	42	41	63	269	247	25	41	
100	36	45	29	71	55	72	50	30	18	66	128	99	65	17	
585	771	363	437	551	377	257	300	128	91	161	353	424	210	82	
14	10	7	7	12	3	3	6	3	0	1	0	8	4	0	
671	797	401	459	610	429	326	344	155	109	226	481	515	271	99	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

3	4	2	5	3	3	6	3	0	0	1	4	3	1	1	
59	107	41	57	83	40	30	25	14	8	10	47	52	20	7	
55	59	42	40	48	41	30	50	9	11	20	55	34	29	15	
543	593	298	341	458	340	251	256	123	86	191	356	402	215	76	
4	11	7	6	8	1	4	3	3	2	1	5	7	3	0	
2	7	3	5	4	3	2	4	2	1	2	3	8	2	0	
1	6	1	2	4	1	1	0	2	0	1	7	3	0	0	
4	10	7	3	2	0	2	3	2	1	0	4	6	1	0	
